Year,Month,Day,Hour,Minute,Second,Country,State,Location,Lat,Lon,RegionCode,MaxWaterHeight,MagIIDA,IntensitySoloviev,WarningStatus,DeathCount
1834,2,9,1,,,JAPAN,,W. HOKKAIDO ISLAND,43.30,141.40,85.00,,2.00,1.00,,
1834,3,14,,,,MEXICO,,S. MEXICO,16.80,-99.90,88.00,,1.00,0.00,,
1835,2,20,16,22,,CHILE,,CENTRAL CHILE,-36.83,-73.03,89.00,24.00,4.00,3.00,,53.00
1835,7,12,,,,GREECE,,IONIAN ISLANDS,,,50.00,,,2.00,,
1835,7,20,,,,JAPAN,,SANRIKU,37.90,141.90,85.00,5.00,2.30,2.00,,
1835,8,19,,,,JAPAN,,"MIYAGI, JAPAN",,,85.00,,2.00,2.00,,
1836,1,21,,,,AUSTRALIA,,TASMANIA,-43.30,148.90,81.00,,,,,
1836,3,5,,,,INDONESIA,,FLORES SEA,-8.30,118.70,60.00,,,0.50,,
1836,4,24,16,15,,ITALY,,ROSSANO,39.60,16.60,50.00,,,4.00,,589.00
1836,7,3,,,,CHILE,,NORTHERN CHILE,-22.60,-70.30,89.00,,1.00,1.00,,
1836,9,5,,,,JAPAN,,SANRIKU,37.70,142.00,85.00,,1.00,1.00,,
1836,11,28,,,,INDONESIA,,FLORES SEA,-8.30,118.70,60.00,,,0.50,,
1837,1,1,1,,,ISRAEL,,ISRAEL and SYRIAN COASTS,33.00,35.50,50.00,,,4.00,,
1837,8,1,,,,NETHERLANDS,,VLISSINGEN,51.44,3.57,73.00,,,,,
1837,8,2,,,,USA TERRITORY,VI,VIRGIN ISLANDS,,,74.00,,,,,
1837,8,9,,,,MEXICO,,ACAPULCO,16.86,-99.88,88.00,,,0.00,,
1837,9,29,,,,INDONESIA,,BANDA ACEH,5.50,96.00,60.00,,,0.50,,
1837,10,18,,,,MEXICO,,MEXICO CITY,19.45,-99.15,88.00,,,0.00,,
1837,10,,,,,"MICRONESIA, FED. STATES OF",,CAROLINE ISLANDS,7.50,146.50,81.00,,,,,
1837,11,7,12,51,,CHILE,,SOUTHERN CHILE,-42.50,-74.00,89.00,6.00,3.00,3.00,,16.00
1838,5,7,,,,CHILE,,CENTRAL CHILE,-36.70,-73.10,89.00,0.80,,,,
1838,8,10,20,30,,CROATIA,,RIJEKA,45.30,14.50,50.00,,,3.00,,
1839,2,12,,,,CHILE,,CENTRAL CHILE,-33.62,-76.83,89.00,,,,,
1839,3,,,,,USA,HI,HAWAII,,,80.00,,,,,
1839,5,1,,,,JAPAN,,SE. HOKKAIDO ISLAND,42.50,145.00,85.00,,1.00,1.00,,
1839,,,,,,NEW ZEALAND,,"WAIKAWA, SOUTHLAND",-46.63,169.13,81.00,,,,,
1840,1,4,,,,INDONESIA,,JAVA,-8.00,110.50,60.00,,,0.00,,
1840,1,16,,,,USA,CA,S. CALIFORNIA,,,88.00,,,,,
1840,1,28,8,,,PERU,,CENTRAL PERU,-12.30,-77.30,89.00,,,0.00,,
1840,2,14,,,,INDONESIA,,N. MOLUCCAS ISLANDS,0.80,127.33,83.00,,,0.50,,
1840,3,22,,,,PHILIPPINES,,PHILIPPINE SEA,12.90,123.90,84.00,,1.00,1.00,,52.00
1840,7,28,,,,NEW ZEALAND,,WHITIANGA,-36.84,175.69,81.00,,,,,
1840,8,,,,,NEW ZEALAND,,EAST CAPE,-37.61,178.35,81.00,1.00,,,,
1840,11,11,,,,USA,PA,"PHILADELPHIA, PENNSYLVANIA",39.80,-75.20,75.00,,,,,
1840,,,,,,USA,HI,HAWAII,,,80.00,,,,,
1841,5,17,21,30,,RUSSIA,,KAMCHATKA,52.00,158.00,86.00,15.00,3.90,3.00,,
1841,11,26,,,,INDONESIA,,MOLUCCAS ISLANDS,-5.00,130.00,83.00,3.00,1.50,1.50,,
1841,12,16,,,,INDONESIA,,BANDA SEA,-4.00,127.50,83.00,1.50,1.00,1.50,,
1841,,,,,,PERU,,PERU,,,89.00,,,,,
1842,5,7,21,,,HAITI,,CAP-HAITIAN,19.75,-72.20,74.00,5.00,4.20,,,5300.00
1842,11,1,,,,CANADA,,ST. LAWRENCE,,,75.00,,,,,
1842,11,11,,,,BANGLADESH,,BAY OF BENGAL:  NORTHERN END,24.00,89.25,60.00,,,,,
1843,1,5,,,,INDONESIA,,SW. SUMATRA,1.50,98.00,60.00,,,2.00,,
1843,2,7,,,,INDONESIA,,BALI SEA,-7.20,114.00,60.00,,,0.00,,
1843,2,8,14,50,,GUADELOUPE (FRENCH TERRITORY),,POINTE-A-PITRE,16.50,-62.20,74.00,1.20,0.30,,,5000.00
1843,2,17,,,,GUADELOUPE (FRENCH TERRITORY),,MARIE-GALANTE ISLAND,15.93,-61.27,74.00,,,,,
1843,4,25,,,,JAPAN,,SE. HOKKAIDO ISLAND,42.00,146.00,85.00,4.50,2.20,2.50,,45.00
1843,7,5,,,,UK,,"CORNWALL, ENGLAND",,,73.00,,,,,
1843,7,8,5,5,,NEW ZEALAND,,NEW ZEALAND,-39.90,175.00,81.00,,,,,
1843,9,14,10,30,,CROATIA,,DUBROVNIK,42.60,18.10,50.00,,,4.00,,
1843,10,18,,,,GREECE,,ISLAND OF CHALKI,36.30,27.60,50.00,,,4.00,,
1844,3,3,18,25,,CROATIA,,DUBROVNIK,,,50.00,,,3.00,,
1844,3,8,,,,JAPAN,,"IAMACHI, JAPAN",,,85.00,,1.00,1.00,,
1844,3,22,10,13,,CROATIA,,DUBROVNIK,43.40,16.70,50.00,,,2.00,,
1844,5,,,,,NICARAGUA,,LAKE NICARAGUA,11.20,-84.80,88.00,,,,,
1845,2,8,7,30,,INDONESIA,,CELEBES SEA,1.50,124.85,83.00,,,0.00,,118.00
1845,4,7,,,,MEXICO,,S. MEXICO,17.00,-100.60,88.00,,,1.50,,
1845,6,18,,,,ITALY,,ISLAND OF SICILY,36.40,13.44,50.00,,,,,
1845,6,19,,,,INDIA,,RANN OF KUTCH,23.58,68.37,60.00,,,,,
1845,7,5,,,,NEW ZEALAND,,N. NEW ZEALAND,-39.93,175.05,81.00,1.00,,0.50,,
1845,8,16,16,38,,CROATIA,,DUBROVNIK,,,50.00,,,3.00,,
1845,9,,,,,JAPAN,,"NAGASAKI, JAPAN",,,85.00,,1.00,0.00,,
1845,,,,,,USA,AK,"SE. ALASKA, AK",,,87.00,,,3.00,,100.00
1846,1,25,0,0,,INDONESIA,,"TERNATE ISLAND, N. MOLUCCAS ISLANDS",2.00,126.50,83.00,1.20,,0.50,,
1846,3,,,,,JAPAN,,SANRIKU,39.50,142.50,85.00,2.00,1.00,1.00,,
1846,5,7,,,,NEW ZEALAND,,"LAKE TAUPO, NORTH ISLAND",-38.96,175.73,81.00,,,,,
1846,7,25,17,30,,TURKEY,,IZMIR,,,50.00,,,3.00,,
1846,8,14,12,35,,ITALY,,LIVORNO,43.40,10.60,50.00,,,3.00,,56.00
1846,8,26,17,23,,ITALY,,TUSCANY,43.50,10.50,50.00,,,4.00,,
1846,9,12,,,,ITALY,,TUSCANY,,,50.00,,,,,
1846,9,19,,,,ITALY,,TUSCANY,,,50.00,,,,,
1846,10,4,22,15,,ITALY,,TUSCANY,,,50.00,,,,,
1846,10,14,11,15,,ITALY,,TUSCANY,,,50.00,,,,,
1846,10,19,,,,ITALY,,TUSCANY,,,50.00,,,,,
1846,10,24,,,,ITALY,,TUSCANY,,,50.00,,,,,
1846,10,28,,,,ITALY,,TUSCANY,,,50.00,,,,,
1846,11,29,0,55,,ITALY,,TUSCANY,,,50.00,,,,,
1846,12,3,,,,ITALY,,TUSCANY,43.30,10.70,50.00,,,3.00,,
1846,,,,,,TURKEY,,ISMIR,,,50.00,,,3.00,,
1847,4,15,,,,ITALY,,LIVORNO,,,50.00,,,,,
1847,4,16,,,,ITALY,,LIVORNO,,,50.00,,,,,
1847,4,17,,,,ITALY,,LIVORNO,,,50.00,,,,,
1847,5,23,,,,PERU,,CENTRAL PERU,-12.10,-77.10,89.00,2.00,1.00,1.50,,
1847,8,26,,,,ITALY,,NAPLES,,,50.00,,,2.00,,
1847,8,27,,,,JAPAN,,SANRIKU,,,85.00,,1.00,1.50,,335.00
1847,10,19,,,,CHILE,,CENTRAL CHILE,-31.61,-71.18,89.00,,,,,
1847,10,31,,,,INDIA,,LITTLE NICOBAR ISLAND,7.33,93.67,60.00,,,,,
1848,6,,,,,RUSSIA,,KAMCHATKA,,,86.00,,,,,
1848,7,12,,,,FRENCH POLYNESIA,,TAHITI,-17.90,-149.90,81.00,,,0.50,,
1848,9,24,,,,CANADA,NL,"FISHING SHIPS HARBOUR, NEWFOUNDLAND",52.62,-55.77,75.00,,,,,
1848,10,15,14,10,,NEW ZEALAND,,COOK STRAIT,-41.90,173.60,81.00,0.30,-1.00,0.50,,
1848,10,17,4,10,,NEW ZEALAND,,COOK STRAIT,,,81.00,,,0.50,,
1848,10,18,17,33,,NEW ZEALAND,,WELLINGTON,,,81.00,,,,,3.00
1849,1,25,5,10,,USA TERRITORY,GU,"GUAM, MARIANA ISLANDS",14.00,143.30,81.00,6.10,1.00,2.00,,
1849,9,28,9,,,RUSSIA,,KAMCHATKA,55.00,166.00,86.00,,,,,
1849,11,17,10,10,,CHILE,,CENTRAL CHILE,-29.95,-71.37,89.00,5.00,2.30,2.50,,
1850,1,21,,,,ITALY,,LIVORNO,,,50.00,,,,,
1850,5,16,,,,ITALY,,LIVORNO,,,50.00,,,,,
1850,7,20,,,,JAPAN,,SANRIKU,39.50,142.00,85.00,2.00,1.00,0.00,,
1850,10,20,,,,ITALY,,LIVORNO,,,50.00,,,,,
1850,,,,,,NORTHWEST PACIFIC OCEAN,,PHILIPPINE SEA,20.60,134.80,84.00,,,,,
1851,2,28,15,,,GREECE,,DODECANESE ISLANDS,36.50,28.70,50.00,,,,,
1851,2,28,,,,TURKEY,,"FETIYE, ASIA MINOR",35.50,28.70,50.00,0.90,-0.10,3.00,,
1851,4,2,10,48,,CHILE,,CENTRAL CHILE,,,89.00,,,,,
1851,4,3,,,,TURKEY,,ASIA MINOR,,,50.00,,,3.00,,
1851,5,4,,,,INDONESIA,,LAMPUNG BAY,-5.00,105.00,60.00,1.50,3.90,1.50,,
1851,5,15,16,10,,USA,CA,N. CALIFORNIA,37.80,-122.40,88.00,,,,,
1851,5,23,,,,GREECE,,KHALKI ISLET,,,50.00,,,2.00,,
1851,5,26,18,14,,CHILE,,NORTHERN CHILE,-27.35,-70.35,89.00,3.00,1.60,2.00,,
1851,7,28,18,33,,ITALY,,LIGURIAN SEA,43.75,10.30,50.00,,,2.00,,
1851,10,12,6,,,ALBANIA,,ALBANIAN COASTS,40.50,19.70,50.00,0.66,-0.10,3.00,,2000.00
1851,11,13,2,51,,USA,CA,"SAN FRANCISCO BAY, N. CALIFORNIA",,,88.00,,,,,
1851,12,16,,,,ITALY,,LIVORNO,,,50.00,,,,,
1852,1,9,,,,INDONESIA,,JAVA,-6.50,105.50,60.00,,,0.50,,
1852,2,2,7,30,,ITALY,,LIVORNO,,,50.00,,,3.00,,
1852,5,12,2,,,TURKEY,,ASIA MINOR,,,50.00,,,3.00,,
1852,6,26,7,15,,ITALY,,LIVORNO,,,50.00,,,,,
1852,7,17,,,,CUBA,,SANTIAGO DE CUBA,20.00,-75.80,74.00,,,,,
1852,9,8,22,30,,TURKEY,,ASIA MINOR,,,50.00,,,3.00,,
1852,9,16,10,30,,PHILIPPINES,,W. LUZON ISLAND,14.00,120.50,84.00,,,1.50,,3.00
1852,11,10,,,,INDONESIA,,BANDA SEA,,,83.00,,,,,
1852,11,10,,,,ITALY,,LIVORNO - LIGURIAN SEA,,,50.00,,,,,
1852,11,11,0,0,,INDONESIA,,"SIBOLGA, SUMATRA",1.50,98.00,60.00,,,0.00,,
1852,11,16,,,,INDONESIA,,BANDA SEA,,,83.00,,,,,
1852,11,19,,,,INDONESIA,,"AMBON ISLAND, BANDA SEA",-3.70,128.20,83.00,,,0.00,,
1852,11,23,,,,INDONESIA,,BANDA SEA,,,83.00,,,,,
1852,11,25,7,9,,USA,CA,"SAN FRANCISCO, N. CALIFORNIA",,,88.00,,,,,
1852,11,25,22,40,,INDONESIA,,BANDA SEA,-5.25,129.75,83.00,8.00,3.00,2.50,,60.00
1852,11,27,,,,PERU,,PERU,-12.10,-77.10,89.00,,,,,
1852,11,29,,,,MEXICO,,N. MEXICO,32.50,-115.50,88.00,3.00,,1.00,,
1852,12,4,,,,MEXICO,,S. MEXICO,17.00,-100.00,88.00,,,0.00,,1.00
1852,12,24,,,,INDONESIA,,BANDANEIRA,-5.00,130.50,83.00,,,2.00,,
1853,4,8,17,50,,ITALY,,TYRRHENIAN SEA -SALERNO,,,50.00,,,,,
1853,7,15,,,,VENEZUELA,,CUMANA,10.50,-64.20,74.00,5.00,,,,1000.00
1853,8,18,8,30,,GREECE,,CENTRAL GREECE (EVOIKOS GULF),38.25,23.50,50.00,,,3.00,,17.00
1853,10,3,,,,JAPAN,,OKINAWA ISLAND,26.20,127.60,85.00,,,1.00,,
1853,10,29,,,,TAIWAN,,E. TAIWAN-RYUKYU ISLANDS,24.00,121.83,84.00,,,,,
1853,11,,,,,RUSSIA,,S. KURIL ISLANDS,47.00,152.00,86.00,,2.00,2.00,,
1853,12,11,16,15,,MONTENEGRO,,DALMATIA - ADRIATIC SEA,,,50.00,1.00,,3.00,,
1853,12,24,,,,TONGA,,TONGATAPU ISLAND,-21.17,-175.17,81.00,,,,,
1853,,,,,,USA,AK,"LITUYA BAY, AK",58.63,-137.57,87.00,120.00,4.30,4.00,,
1854,1,4,,,,INDONESIA,,BANDA SEA,-3.50,128.60,83.00,,,0.00,,
1854,1,15,,,,NORTHWEST PACIFIC OCEAN,,PHILIPPINE SEA,20.90,134.80,84.00,,,,,
1854,1,27,18,10,,USA,AK,"KODIAK ISLAND, AK",57.00,-152.00,87.00,2.40,,0.50,,
1854,2,29,,,,FRANCE,,LIGURIAN SEA,,,50.00,,,,,
1854,5,31,12,59,,USA,CA,S. CALIFORNIA,34.40,-119.70,88.00,,,0.00,,
1854,6,27,,,,RUSSIA,,N. KURIL ISLANDS,51.00,158.00,86.00,,,2.00,,
1854,7,9,,,,RUSSIA,,N. KURIL ISLANDS,50.90,155.50,86.00,,,,,
1854,7,24,,,,USA,CA,S. CALIFORNIA,,,88.00,0.10,-1.70,-2.00,,
1854,8,4,,,,COSTA RICA,,COSTA RICA-PANAMA,8.50,-83.00,88.00,,,1.50,,
1854,8,7,,,,COSTA RICA,,COSTA RICA-PANAMA,8.50,-83.00,88.00,,,1.50,,
1854,8,18,,,,USA,CA,S. CALIFORNIA,,,88.00,0.03,,,,
1854,9,27,,,,INDONESIA,,N. MOLUCCAS ISLANDS,0.80,127.40,83.00,,,0.50,,
1854,10,4,18,19,,USA,CA,N. CALIFORNIA,,,88.00,0.03,,,,
1854,10,22,3,35,,USA,CA,N. CALIFORNIA,37.80,-122.40,88.00,,,0.00,,
1854,11,1,,,,USA,CA,N. CALIFORNIA,,,88.00,,,,,
1854,11,10,,,,USA,CA,N. CALIFORNIA,,,88.00,,,,,
1854,12,1,,,,USA,CA,N. CALIFORNIA,,,88.00,,,,,
1854,12,4,,,,MEXICO,,S. MEXICO,16.80,-99.20,88.00,,,,,
1854,12,23,0,0,,JAPAN,,ENSHUNADA SEA,34.00,137.90,85.00,21.00,4.00,3.00,,1000.00
1854,12,24,8,0,,JAPAN,,NANKAIDO,33.10,135.00,85.00,28.00,4.00,2.50,,3000.00
1854,12,29,2,45,,FRANCE,,LIGURIAN SEA,43.80,7.90,50.00,,,,,
1855,1,23,9,,,NEW ZEALAND,,NORTHERN ISLAND,-41.25,175.00,81.00,11.00,3.20,3.00,,
1855,2,3,,,,NEW ZEALAND,,WHARANUI,-41.93,174.09,81.00,,,,,
1855,2,11,12,0,,NEW ZEALAND,,,-39.20,177.60,81.00,,,,,
1855,2,13,,,,TURKEY,,ASIA MINOR,,,50.00,,,3.00,,
1855,2,17,,,,PORTUGAL,,AZORES,,,73.00,10.00,1.60,,,
1855,3,20,0,30,,USA,CA,N. CALIFORNIA,40.75,-124.20,88.00,,,0.00,,
1855,4,14,,,,INDONESIA,,FLORES ISLAND,-9.00,121.00,60.00,,,1.00,,
1855,5,18,14,,,FRANCE,,LIGURIAN SEA  - NICE,,,50.00,,,3.00,,
1855,7,11,4,15,,USA,CA,S. CALIFORNIA,34.10,-118.10,88.00,,,0.00,,
1855,8,11,9,15,,CHILE,,CENTRAL CHILE,-33.00,-71.70,89.00,,,0.00,,
1855,9,25,,,,HONDURAS,,TRUJILLO,15.91,-85.96,74.00,,,,,
1855,10,22,3,45,,USA,CA,N. CALIFORNIA,37.80,-122.40,88.00,,,0.00,,
1855,11,7,,,,JAPAN,,ENSHUNADA,34.50,137.60,85.00,3.00,1.00,,,
1855,11,11,,,,JAPAN,,TOKAIDO,35.65,139.80,85.00,,,,,6757.00
1855,12,3,,,,JAPAN,,NANKAIDO,32.50,134.50,85.00,,,,,
1855,,,,,,CHINA,,SICHUAN PROVINCE,29.20,108.10,84.00,3.00,,,,
1856,1,6,,,,PORTUGAL,,AZORES,,,73.00,,,,,
1856,2,15,13,25,,USA,CA,N. CALIFORNIA,37.50,-122.30,88.00,0.60,,-1.00,,
1856,3,2,,,,INDONESIA,,SANGIHE ISLAND,3.67,125.50,83.00,,1.00,1.00,,2806.00
1856,3,,,,,NEW ZEALAND,,"S CANTERBURY PROVINCE, SOUTH ISLAND",-44.00,172.00,81.00,1.00,,0.50,,
1856,7,25,,,,INDONESIA,,JAVA-FLORES SEA,-8.50,116.00,60.00,,,0.00,,
1856,7,26,,,,USA,AK,"UNIMAK ISLAND, AK",54.60,-165.00,87.00,,,,,
1856,8,4,,,,HONDURAS,,BAY OF HONDURAS,16.00,-88.00,74.00,5.00,,,,
1856,8,21,21,45,,ALGERIA,,SEA OF ALBORAN,37.10,5.70,50.00,,,4.00,,
1856,8,22,11,40,,ALGERIA,,SEA OF ALBORAN,37.10,5.70,50.00,5.00,,4.00,,3.00
1856,8,23,4,30,,JAPAN,,SE. HOKKAIDO ISLAND,40.50,143.50,85.00,6.00,2.60,2.00,,26.00
1856,9,,,,,JAPAN,,TOKYO BAY,35.60,139.70,85.00,,,0.00,,
1856,10,12,0,45,,GREECE,,CRETE,35.50,26.00,50.00,,,3.00,,538.00
1856,11,13,,,,GREECE,,"CHIOS ISLAND, AEGEAN ISLANDS",38.50,26.25,50.00,,,3.00,,
1857,1,6,,,,SUDAN,,NILE RIVER,4.90,31.70,50.00,,,,,
1857,4,17,,,,PAPUA NEW GUINEA,,BISMARCK SEA,-5.50,147.00,82.00,,,1.50,,
1857,5,13,,,,INDONESIA,,BALI SEA,-8.00,115.50,60.00,3.40,1.60,2.00,,36.00
1857,5,23,9,,,ALGERIA,,SEA OF ALBORAN,36.50,1.30,50.00,,,,,
1857,7,13,22,,,JAPAN,,TOKAIDO,34.80,138.30,85.00,,,,,
1857,9,17,22,,,TURKEY,,MARMARA SEA,40.20,29.00,50.00,,,,,
1857,11,17,,,,INDONESIA,,"KEMA, SULAWESI I, N. MOLUCCAS IS",1.35,125.20,83.00,,,1.50,,
1857,11,18,,,,INDONESIA,,"KEMA, SULAWESI I, N. MOLUCCAS IS",1.35,125.20,83.00,,,0.00,,
1858,1,31,,,,AUSTRALIA,,TASMAN SEA,,,81.00,,,,,
1858,2,21,9,2,,GREECE,,GULF OF CORINTH,37.90,22.90,50.00,,,,,
1858,4,24,11,15,,CHILE,,CENTRAL CHILE,-30.00,-71.40,89.00,,1.00,1.00,,
1858,6,5,,,,UK,,"DOVER STRAITS, ENGLAND",51.03,1.61,73.00,2.40,,,,
1858,8,6,,,,NEW ZEALAND,,,,,81.00,,,,,
1858,9,15,,,,NEW ZEALAND,,SE. NEW ZEALAND,,,81.00,,,0.50,,
1858,9,,,,,JAPAN,,RYUKYU ISLANDS,26.20,127.50,85.00,,,,,
1858,12,13,,,,INDONESIA,,N. MOLUCCAS ISLANDS,1.00,126.00,83.00,,,1.50,,
1859,6,28,,,,INDONESIA,,N. MOLUCCAS ISLANDS,1.00,126.50,83.00,10.00,3.20,3.00,,
1859,7,20,,,,INDONESIA,,"LONTOR ISLAND, BANDA SEA",-4.60,129.90,83.00,,,0.00,,
1859,7,29,,,,INDONESIA,,N. MOLUCCAS ISLANDS,0.01,125.50,83.00,1.00,1.00,1.50,,
1859,8,21,11,55,,TURKEY,,IMROZ - AEGEAN SEA,40.00,26.00,50.00,,,3.00,,
1859,8,25,,,,EL SALVADOR,,EL SALVADOR,13.33,-87.81,88.00,,1.00,1.50,,
1859,9,24,,,,USA,CA,"HALF MOON BAY, N. CALIFORNIA",,,88.00,4.60,2.20,0.00,,
1859,9,25,,,,INDONESIA,,BANDA SEA,-5.50,130.50,83.00,,1.00,0.50,,
1859,10,5,12,0,,CHILE,,NORTHERN CHILE,-27.35,-70.35,89.00,6.00,2.50,2.50,,10.00
1859,10,11,,,,CHILE,,N. CENTRAL CHILE,,,89.00,,,,,
1859,10,20,,,,GREECE,,PIREAUS,,,50.00,,,2.00,,
1859,10,20,,,,INDONESIA,,SOUTH OF JAVA,-9.00,111.00,60.00,,,1.00,,2.00
1859,10,26,,,,INDONESIA,,N. MOLUCCAS ISLANDS,,,83.00,,,,,
1859,11,22,,,,AUSTRALIA,,TASMANIA,-40.85,145.32,81.00,,,,,
1859,12,9,2,0,,EL SALVADOR,,EL SALVADOR,13.70,-89.80,88.00,,1.00,1.50,,
1859,12,17,,,,INDONESIA,,N. MOLUCCAS ISLANDS,0.90,124.90,83.00,,,0.00,,
1859,12,25,,,,INDONESIA,,N. MOLUCCAS ISLANDS,1.37,125.10,83.00,,,1.00,,
1860,1,6,,,,SPAIN,,SEA OF ALBORAN,,,50.00,,,2.00,,
1860,3,17,,,,MEXICO,,S. MEXICO,16.70,-99.20,88.00,,,,,
1860,4,8,,,,HAITI,,ANSE-A-VEAU,18.52,-73.35,74.00,,,,,
1860,4,23,,,,PERU,,CENTRAL PERU,-12.10,-77.10,89.00,,,0.00,,
1860,8,,,,,INDONESIA,,SULAWESI-N. MOLUCCAS ISLANDS,1.30,121.00,83.00,,,0.00,,
1860,10,6,,,,INDONESIA,,CERAM SEA,-1.25,128.50,83.00,,,0.00,,
1860,12,1,,,,USA,,HAWAII,,,80.00,3.60,1.80,1.50,,
1861,2,16,,,,INDONESIA,,SW. SUMATRA,-1.00,97.50,60.00,7.00,,3.00,,1105.00
1861,2,21,,,,INDONESIA,,WANAIDJAS,,,60.00,,,,,
1861,3,9,,,,INDONESIA,,SW. SUMATRA,0.01,98.00,60.00,,,2.00,,950.00
1861,3,20,,,,CHILE,,SC. CHILE,,,89.00,,,,,
1861,3,,,,,INDONESIA,,BANDA SEA,-3.70,128.20,83.00,1.80,,1.00,,
1861,4,26,,,,INDONESIA,,SW. SUMATRA,1.00,97.50,60.00,,,1.50,,
1861,5,4,,,,USA,CA,N. CALIFORNIA,,,88.00,,,,,
1861,5,5,,,,USA,CA,N. CALIFORNIA,,,88.00,,,,,
1861,6,5,,,,INDONESIA,,JAVA,-6.30,107.30,60.00,,1.00,1.00,,
1861,6,17,,,,INDONESIA,,SW. SUMATRA,1.00,97.50,60.00,,,0.50,,
1861,9,25,,,,INDONESIA,,SW. SUMATRA,-1.50,100.00,60.00,,,1.50,,
1861,10,20,17,30,,JAPAN,,OFF MIYAGI,38.50,142.00,85.00,3.90,2.00,2.00,,
1861,12,26,,,,GREECE,,CORINTH GULF,38.20,22.20,50.00,2.10,1.10,4.00,,
1862,1,1,8,45,,GREECE,,IONIAN SEA,38.25,22.25,50.00,,,2.00,,
1862,1,28,,,,USA,,HAWAII,,,80.00,,,1.00,,
1862,3,4,9,30,,PHILIPPINES,,W. LUZON ISLAND,14.50,121.00,84.00,,,0.50,,
1862,3,18,,,,FRANCE,,LIGURIAN SEA,,,50.00,,,,,
1862,4,8,,,,INDONESIA,,"CHERIBON DISTRICT, JAVA",-6.70,108.57,60.00,2.10,1.10,,,
1862,5,27,20,0,,USA,CA,S. CALIFORNIA,32.70,-117.20,88.00,1.20,0.30,,,
1862,7,10,,,,GHANA,,GOLD COAST,7.00,0.40,77.00,,,,,3.00
1862,11,24,,,,ITALY,,GULF OF GENOVA,,,50.00,,,,,
1863,3,16,,,,INDONESIA,,JAVA,-6.10,106.70,60.00,,,0.00,,
1863,3,22,21,30,,GREECE,,AEGEAN SEA,36.50,28.00,50.00,,,,,
1863,6,3,11,20,,PHILIPPINES,,W. LUZON ISLAND,14.50,121.00,84.00,,1.00,1.00,,400.00
1863,8,17,,,,VANUATU,,VANUATU ISLANDS,-19.00,168.50,82.00,,,1.00,,
1863,9,20,,,,JAPAN,,NW. HOKKAIDO ISLAND,44.60,141.50,85.00,,,0.00,,
1863,,,,,,CANADA,NL,NEWFOUNDLAND,,,75.00,,,,,
1864,2,16,,,,INDONESIA,,SW. SUMATRA,,,60.00,,,,,
1864,5,19,,,,HAITI,,JACMEL,18.20,-72.53,74.00,,,,,
1864,5,23,,,,INDONESIA,,NW. IRIAN JAYA,-1.00,135.00,83.00,3.00,3.60,1.50,,250.00
1864,6,27,22,30,,CANADA,NL,"SW AVALON PENINSULA, NEWFOUNDLAND",46.50,-53.70,75.00,,,,,
1865,1,8,,,,PERU,,CENTRAL PERU,-12.00,-77.10,89.00,2.00,1.00,1.50,,5.00
1865,3,1,,,,PERU,,CALLAO,,,89.00,,,0.50,,
1865,3,1,,,,JAPAN,,RYUKYU ISLANDS,26.20,127.50,85.00,,,0.50,,
1865,7,16,3,0,0,USA,AK,"UNALASKA ISLAND, AK",54.00,-167.00,87.00,,,,,
1865,10,4,,,,USA,CA,"SAN FRANCISCO, CA",37.00,-122.00,88.00,,,,,
1865,10,8,20,46,,USA,CA,N. CALIFORNIA,37.20,-121.90,88.00,,,0.50,,
1865,10,13,,,,PHILIPPINES,,SULU SEA,,,84.00,,,,,
1865,10,19,,,,PHILIPPINES,,PHILIPPINES,13.25,123.50,84.00,,,0.00,,
1865,11,18,,,,TONGA,,TONGA ISLANDS,-19.50,-173.50,81.00,1.25,,3.00,,
1865,11,28,,,,PERU,,CENTRAL PERU,-12.08,-77.00,89.00,,,1.00,,
1866,1,2,,,,ALBANIA,,ALBANIAN COASTS,40.30,19.40,50.00,,,4.00,,60.00
1866,1,6,,,,ALBANIA,,ALBANIAN COASTS,,,50.00,,,3.00,,
1866,1,19,,,,GREECE,,"CHIOS ISLAND, AEGEAN ISLANDS",,,50.00,,,,,
1866,1,31,,,,GREECE,,THERA ISLAND (SANTORINI),36.40,25.30,50.00,,,,,
1866,2,2,,,,GREECE,,"E. SPORADES ISLANDS, AEGEAN ISLANDS",38.30,26.20,50.00,,,3.00,,
1866,2,6,,,,GREECE,,"S. COASTS PELOPONNESUS, GREECE",36.00,23.00,50.00,8.60,,4.00,,
1866,3,2,15,30,,ALBANIA,,ALBANIAN COASTS,40.40,19.50,50.00,,,3.00,,20.00
1866,3,6,,,,GREECE,,THERA ISLAND (SANTORINI),36.40,25.40,50.00,,,4.00,,
1866,3,13,,,,ALBANIA,,ALBANIAN COASTS,,,50.00,,,3.00,,
1866,8,9,,,,AUSTRALIA,,SYDNEY HARBOR,-33.80,151.30,81.00,,,-1.00,,
1866,8,15,,,,AUSTRALIA,,SYDNEY HARBOR,-33.80,151.30,81.00,,,-1.00,,
1866,9,5,13,0,0,USA,AK,"KODIAK ISLAND, AK",58.00,-152.00,87.00,,,,,
1866,9,12,,,,USA TERRITORY,AS,"MANUA ISLANDS, AMERICAN SAMOA",-14.21,-169.59,81.00,,,,,
1866,10,,,,,GREECE,,MIRTOON SEA,,,50.00,,,,,
1866,12,20,,,,USA,OR,"PORT TOWNSEND, WA",,,88.00,,,,,
