Year,Month,Day,Hour,Minute,Second,Country,State,Location,Lat,Lon,RegionCode,MaxWaterHeight,MagIIDA,IntensitySoloviev,WarningStatus,DeathCount
740,10,26,,,,TURKEY,,MARMARA SEA,40.70,29.30,50.00,,,3.00,,
744,6,30,,,,JAPAN,,SW. KYUSHU ISLAND,32.40,130.50,85.00,,2.00,2.00,,1520.00
745,6,9,,,,JAPAN,,"OSAKA BAY, JAPAN",34.60,135.30,85.00,,1.00,1.00,,
746,1,18,,,,SYRIA,,SYRIAN and EGYPTIAN COASTS,32.00,35.50,50.00,,,3.00,,
765,7,,,,,JAPAN,,KYUSHU ISLAND,,,85.00,,,,,
766,7,20,,,,JAPAN,,N. KAGOSHIMA BAY,31.60,130.70,85.00,,1.50,1.50,,
792,4,30,,,,ITALY,,GULF OF VENICE,45.50,11.00,50.00,,,3.00,,
799,9,18,,,,JAPAN,,"KASHIMA, JAPAN",,,85.00,2.00,1.00,1.00,,
800,,,,,,GREECE,,IONIAN SEA,36.20,23.20,50.00,,,,,
803,12,19,,,,TURKEY,,GULF OF ISKENDERUN,36.95,35.60,50.00,,,3.00,,
818,8,,,,,JAPAN,,TOKAIDO,35.20,139.30,85.00,,2.00,1.00,,
842,10,24,,,,UK,,"CHANNEL ISLANDS, ENGLAND",49.50,-2.50,73.00,,,,,
850,11,27,,,,JAPAN,,NW. HONSHU ISLAND,39.00,139.90,85.00,,2.00,1.00,,
855,6,,,,,JAPAN,,NANKAIDO,,,85.00,2.00,1.00,1.00,,
859,,,,,,TURKEY,,SAMANDAGI,36.08,36.25,50.00,,,3.00,,
863,7,10,,,,JAPAN,,NW. HONSHU ISLAND,37.10,138.00,85.00,,2.00,2.00,,
869,7,13,,,,JAPAN,,SANRIKU,38.50,143.80,85.00,,4.00,4.00,,
881,4,8,,,,ISRAEL,,ISRAEL AND EGYPTIAN COASTS,,,50.00,,,,,
881,6,10,,,,SPAIN,,CADIZ,36.00,-8.00,73.00,,,,,
887,8,2,,,,JAPAN,,NIIGATA,37.50,138.10,85.00,,2.00,1.00,,2000.00
887,8,26,,,,JAPAN,,NANKAIDO,33.00,135.30,85.00,,3.00,3.00,,
900,,,,,,INDIA,,NAGAPATTINAM,10.46,79.53,60.00,,,,,200.00
922,,,,,,JAPAN,,KUMANONADA,33.80,136.70,85.00,2.00,1.00,1.00,,
957,4,4,,,,IRAN,,PERSIAN GULF OR CASPIAN SEA,,,40.00,,,3.00,,
963,7,22,,,,ITALY,,SICILY,38.00,15.00,50.00,,,5.00,,
975,10,26,,,,TURKEY,,"MARMARA SEA, STRAIT OF BOSPORUS",41.04,28.98,50.00,,,3.00,,
986,10,26,,,,TURKEY,,MARMARA SEA,40.80,29.20,50.00,,,4.00,,
991,4,5,,,,SYRIA,,SYRIAN COASTS,,,50.00,,,,,
1008,4,11,,,,IRAN,,PERSIAN GULF,27.67,52.35,30.00,,,,,16000.00
1026,6,16,,,,JAPAN,,"OFF MASUDA, SHIMANE PREFECTURE",34.80,131.80,85.00,10.00,3.30,3.00,,1001.00
1033,12,5,,,,SYRIA,,AKKO,33.00,35.00,50.00,,,4.00,,70000.00
1039,2,2,,,,TURKEY,,CONSTANTINOPLE,38.40,27.30,50.00,,,,,
1050,,,,,,GREECE,,ISLAND OF THIRA,36.40,25.40,50.00,,,,,
1065,9,23,,,,TURKEY,,MARMARA SEA,,,50.00,,,,,
1068,3,18,,,,ISRAEL,,GULF OF AQABA,29.50,34.95,30.00,,,4.00,,
1076,10,31,,,,CHINA,,"GUANGDONG PROVINCE, SOUTH CHINA SEA",23.00,117.00,84.00,,,1.00,,
1088,5,13,,,,JAPAN,,"MIYAKO, IWATE PREFECTURE",39.64,141.96,85.00,,,1.50,,
1088,6,10,,,,JAPAN,,"MIYAKO, IWATE PREFECTURE",40.50,143.00,85.00,,1.00,1.50,,
1092,9,13,,,,JAPAN,,"TERADOMARI, NIIGARA PREFECTURE",,,85.00,,2.00,2.00,,
1096,12,17,,,,JAPAN,,ENSHUNADA,34.00,137.50,85.00,7.00,2.50,2.00,,
1099,2,22,,,,JAPAN,,NANKAIDO,33.00,135.50,85.00,,2.50,,,
1099,11,11,,,,UK,,"WEST CORNWALL, ENGLAND",50.12,-5.48,73.00,,,,,
1106,3,,,,,ITALY,,MALAMOCCO,45.50,12.30,50.00,,,3.00,,
1112,6,20,,,,ITALY,,CAMPANIA,40.85,14.25,50.00,,,2.00,,
1114,3,12,,,,ITALY,,CALABRIAN ARC,36.50,36.00,50.00,,,3.00,,
1134,10,1,,,,NORTH SEA,,SOUTHERN NORTH SEA,,,73.00,,,,,
1169,2,4,7,,,ITALY,,EASTERN SICILY,37.30,15.03,50.00,,,4.00,,16000.00
1169,2,11,,,,ITALY,,CALABRIAN ARC,37.73,15.00,50.00,,,,,
1172,,,,,,ITALY,,ISLAND OF SICILY,38.00,15.00,50.00,,,,,
1202,5,20,,,,SYRIA,,SOUTHWESTERN SYRIA,33.50,36.00,50.00,,,5.00,,30000.00
1222,5,,,,,CYPRUS ISLAND,,CYPRUS,34.50,33.00,50.00,,,4.00,,
1231,3,11,,,,TURKEY,,MARMARA SEA,41.00,28.60,50.00,,,3.00,,
1241,5,22,,,,JAPAN,,"KAMAKURA, SAGAMI BAY",35.20,139.40,85.00,,1.00,1.00,,
1257,10,9,,,,JAPAN,,OFF SANRIKU,39.00,144.00,85.00,,2.00,2.00,,
1257,10,9,,,,JAPAN,,"SAGAMI BAY, JAPAN",35.20,139.50,85.00,,1.00,1.00,,
1265,8,11,,,,TURKEY,,MARMARA SEA,40.70,27.40,50.00,,,3.00,,
1270,3,,,,,GREECE,,IONIAN SEA,41.30,19.50,50.00,,,3.00,,
1273,9,,,,,ALBANIA,,ALBANIAN COASTS,41.30,19.70,50.00,,,3.00,,
1293,5,27,,,,JAPAN,,"KAMAKURA, SAGAMI BAY",35.20,139.40,85.00,,1.00,1.00,,23024.00
1303,8,8,,,,GREECE,,AEGEAN SEA,34.00,26.00,50.00,,,4.00,,4000.00
1321,,,,,,ITALY,,GULF OF VENICE,45.40,12.30,50.00,,,3.00,,
1329,6,28,,,,ITALY,,ISLAND OF SICILY,37.73,15.00,50.00,,,3.00,,
1331,8,15,,,,JAPAN,,"OFF TANABE, WAKAYAMA PREFECTURE",33.70,135.20,85.00,,0.00,,,
1332,2,12,,,,TURKEY,,CONSTANTINOPLE,40.90,28.90,50.00,,,3.00,,
1341,1,1,,,,UKRAINE,,CRIMEA,44.30,34.30,40.00,,,,,
1341,10,31,,,,JAPAN,,"JUSANKO, TSUGARU AOMORI PREFECTURE",41.00,139.50,85.00,,2.50,2.50,,2600.00
1343,10,18,,,,TURKEY,,"MARMARA SEA, STRAIT OF BOSPORUS",40.80,28.30,50.00,,,5.00,,
1343,10,20,14,,,TURKEY,,MARMARA SEA,41.00,28.10,50.00,,,4.00,,
1343,11,25,,,,ITALY,,BAY OF NAPLES,,,50.00,,,4.00,,
1348,1,25,23,,,ITALY,,GULF OF VENICE,46.60,13.80,50.00,,,3.00,,
1360,11,22,,,,JAPAN,,KUMANONADA,33.40,136.20,85.00,,2.50,2.00,,
1361,8,3,,,,JAPAN,,NANKAIDO,33.00,135.00,85.00,,4.00,3.00,,660.00
1365,1,2,,,,ALGERIA,,ALGIERS,36.80,3.00,50.00,5.00,,,,
1389,3,20,,,,GREECE,,"CHIOS ISLAND, AEGEAN ISLANDS",38.40,26.30,50.00,,,3.00,,
1402,6,,,,,GREECE,,GULF OF CORINTH,38.11,22.41,50.00,,,5.00,,
1402,,,,,,SYRIA,,SYRIA,35.00,37.00,50.00,,,,,
1403,11,16,,,,GREECE,,AEGEAN SEA - ASIA MINOR,,,50.00,,,3.00,,
1403,12,,,,,JAPAN,,KUMANONADA,33.70,136.50,85.00,2.00,1.00,1.00,,
1406,10,16,,,,JAPAN,,"SHIZUOKA, JAPAN",34.40,138.40,85.00,,1.00,1.00,,
1407,8,23,,,,NORTH KOREA,,"HAEJU COAST, YELLOW SEA",38.00,125.70,84.00,,,0.00,,
1408,1,21,,,,JAPAN,,KUMANONADA,33.80,136.90,85.00,2.00,1.00,1.00,,
1408,12,20,,,,TURKEY,,ANTIOCH,36.20,36.10,50.00,,,,,
1419,5,25,,,,TURKEY,,MARMARA SEA,,,50.00,,,,,
1420,9,6,,,,CHILE,,PERU-NORTHERN CHILE,,,89.00,2.00,1.00,1.00,,
