Year,Month,Day,Hour,Minute,Second,FocalDepth,EQRichterMag,EQMomentMag,ModMercalli,Country,State,LocationName,Lat,Lon,DeathCount,Tsunami
1819,4,4,20,0,,,8,,,CHILE,,CHILE:  COPIAPO,-27.40,-70.30,,No
1819,5,26,17,,    ,,,,9,ITALY,,ITALY,42.50,11.80,,No
1819,4,12,3,0,,,9,,10,CHILE,,CHILE:  COPIAPO,-27.00,-71.50,,Yes
1819,6,16,23,30,,,8,8,11,INDIA,,"INDIA:  RANN OF KUTCH,AHMADABAD,POONAH,BHOOJ",23.00,71.00,1543.00,Yes
1819,8,31,,,,,6,,7,NORWAY,,NORWAY: RANA REGION: LUROY,66.42,12.85,,Yes
1820,3,17,,,    ,,,,9,GREECE,,GREECE:  LEVKAS,38.80,20.50,,No
1820,8,3,,,,,6,,8,CHINA,,CHINA:  HENAN PROVINCE,34.10,113.80,,No
1820,10,9,,,,,,,,IRAN,,IRAN:  SHIRAZ,29.60,52.50,,No
1820,,,,,    ,,,,,VENEZUELA,,VENEZUELA:  CUMANA,10.50,-64.20,,No
1820,,,,,,,,,,IRAN,,IRAN:  MAZANDARAN,36.50,53.50,,No
1820,3,1,,,,,,,,USA,AK,ALASKA:  EAST ALEUTIAN ISLANDS,54.52,-164.65,,Yes
1820,5,4,,,,,8,,,MEXICO,,"MEXICO:  GUERRERO, OAXACA, PUEBLA, VERACRUZ",17.20,-99.60,,Yes
1820,12,29,3,30,    ,,7,,10,GREECE,,GREECE:  ZAKINTHOS (ZANTE),37.75,21.25,8.00,Yes
1820,12,29,,,,80,8,,,INDONESIA,,INDONESIA:  SULAWESI:  MAKASAR,-7.00,119.00,500.00,Yes
1820,,,,,,,6,,5,CONGO,,CONGO:  LOANGO,-4.50,11.60,,Yes
1821,4,8,,,,,,,,MOROCCO,,MOROCCO:  MELILLA,35.30,-2.97,,No
1821,7,10,13,,,,,,8,PERU,,"PERU:  CAMANA, OCONA, CARAVELI",-16.11,-72.97,162.00,No
1821,11,17,13,30,,,7,,8,ROMANIA,,ROMANIA,45.70,26.60,,No
1821,1,6,17,15,    ,,,,10,GREECE,,GREECE:  ZAKINTHOS (ZANTE),37.80,21.20,,Yes
1821,5,,,,,,,,,UK TERRITORY,,UNITED KINGDOM:  BRITIAN,-15.95,-5.70,3.00,Yes
1822,6,18,,,,,6,,7,CHINA,,CHINA:  GANSU PROVINCE,33.00,104.60,12.00,No
1822,9,5,,,,,,,11,TURKEY,,"TURKEY; SYRIA:  DIMASHQ (DAMASCUS), HALAB; CYPRUS",36.00,36.00,20000.00,No
1822,11,25,12,15,,,,,10,CHILE,,CHILE,-33.05,-71.63,,No
1822,12,1,,,    ,,,,,GRENADA,,GRENADA,12.10,-64.10,,No
1822,5,7,,,,,8,,,COSTA RICA,,COSTA RICA:  MATINA,10.10,-83.30,,Yes
1822,8,13,,,,,,,11,TURKEY,,"TURKEY:  ANTAKYA; SYRIA:  HALAB,DIMASHQ (DAMASCUS);",36.00,36.00,8000.00,Yes
1822,11,20,2,30,,,9,,11,CHILE,,"CHILE:  VALPARAISO, QUILLOTA, CONCON,  ACONCAGUA",-33.00,-72.00,72.00,Yes
1823,3,5,16,37,,,,,10,ITALY,,"ITALY:  NASO, SICILY",38.10,14.70,,No
1823,6,19,,,,,,,9,GREECE,,GREECE:  THESPROTIKON,39.75,20.75,,No
1823,8,,,,    ,,,,8,VENEZUELA,,"VENEZUELA:  CARIACO,ISLAND OF MARGARITA",10.50,-63.80,,No
1823,9,7,,,    ,,,,,IRAN,,IRAN:  MAZANDARAN,36.30,53.30,,No
1823,10,,,,    ,,,,,CROATIA,,BALKANS NW:  CROATIA:  DUBROVNIK,42.70,18.20,,No
1823,,,,,    ,,,,,IRAN,,IRAN:  SHIRAZ,29.60,52.50,,No
1823,5,30,,,,,,,,USA,NY,LAKE ERIE (GREAT LAKES),42.70,-79.00,,Yes
1823,9,9,,,,150,7,,,INDONESIA,,INDONESIA:  JAVA,-6.50,108.50,,Yes
1823,11,30,,,    ,,,,,MARTINIQUE,,MARTINIQUE: SAINT PIERRE HARBOR,14.40,-61.10,,Yes
1824,4,10,,,    ,,,,,JAMAICA,,JAMAICA:  KINGSTON,18.00,-76.50,,No
1824,6,2,,,,,,,,IRAN,,"IRAN:  KAZIRUN, SHAHPUR",29.70,51.60,,No
1824,6,25,,,,,6,,8,IRAN,,"IRAN:  SHIRAZ, GUYUM",29.80,52.40,,No
1824,9,29,6,30,    ,,,,,PHILIPPINES,,"PHILIPPINES:  SE LUZON:  TAYABAS,RIZAL,LAGUNA",13.70,121.70,,No
1824,9,13,,,,,,,,GUADELOUPE,,GUADELOUPE: BASSE TERRE,16.70,-62.20,,Yes
1824,10,26,,,,,,,,PHILIPPINES,,"PHILIPPINES:  MANILA,SAN FRANCISCO",14.25,121.25,,Yes
1824,11,30,,,    ,,,,,MARTINIQUE,,MARTINIQUE: SAINT PIERRE,14.40,-61.00,,Yes
1825,3,2,7,,,,,,10,ALGERIA,,"ALGERIA:  BLIDA, ALGIERS",36.40,2.80,7000.00,No
1825,10,,,,,,,,7,IRAN,,IRAN:  SHIRAZ,29.60,52.50,,No
1825,,,,,,,7,,8,IRAN,,IRAN:  HARHAZ,36.10,52.60,,No
1825,1,19,11,45,,,7,,11,GREECE,,GREECE:  IONIAN ISLANDS:  LEUKAS,38.75,20.75,58.00,Yes
1825,2,26,,,    ,,,,,COLOMBIA,,COLOMBIA:  SANTA MARTA,11.10,-74.10,,Yes
1825,4,,,,,,,,8,USA TERRITORY,GU,GUAM; NORTHERN MARIANA ISLANDS:  LADRONES ISLAND,14.00,143.30,,Yes
1825,9,21,1,45,    ,,,,,TRINIDAD AND TOBAGO,,TRINIDAD:  PORT-OF-SPAIN,10.40,-61.30,,Yes
1826,6,18,3,40,    ,,8,,9,COLOMBIA,,"COLOMBIA:  ENGATIVA,BOGOTA,RAMIRIQUI,UMBITA,TUNJA",4.60,-73.90,,No
1826,9,18,8,,    ,,,,,CUBA,,CUBA:  SANTIAGO DE CUBA,20.00,-75.50,,No
1826,,,,,,,8,,,NEW ZEALAND,,NEW ZEALAND:  FJORDLAND,-45.80,166.50,,No
1826,1,,,,,,,,,JAPAN,,JAPAN:  BONIN ISLANDS [CHICHIJIMA ISLAND],27.07,142.21,,Yes
1827,3,23,,,,,5,,7,CHINA,,CHINA:  SHANXI PROVINCE,34.90,111.10,84.00,No
1827,6,,,,,,,,10,TURKEY,,"TURKEY:  TOKAT, ERBAA",40.70,36.60,,No
1827,9,26,,,,,,,,PAKISTAN,,"PAKISTAN:  LAHORE, PUNJAB",31.60,74.30,,No
1827,11,30,6,45,    ,,,,,MARTINIQUE,,MARTINIQUE,14.40,-61.00,,No
1827,8,9,,,,,,,,RUSSIA,,RUSSIA:  KAMCHATKA,53.00,158.50,,Yes
1827,11,16,22,45,,,7,,11,COLOMBIA,,"COLOMBIA:  BOGOTA, NEIVA, POPAYAN, PASTO, HUILA",1.80,-76.40,250.00,Yes
1828,2,2,13,15,,,,,10,ITALY,,ITALY:  ISLAND OF ISCHIA,40.70,13.90,28.00,No
1828,6,6,,,    ,,,,,INDIA,,INDIA:  KASHMIR,34.20,74.50,,No
1828,8,9,16,,    ,10,6,,8,AZERBAIJAN,,AZERBAIJAN:  SHEMAKHA (SEMACHA),40.70,48.40,,No
1828,3,30,12,35,,50,8,,7,PERU,,"PERU:  LIMA, CALLAO",-12.13,-77.81,30.00,Yes
1828,5,26,,,,,6,,,JAPAN,,JAPAN:  AMAKUSA ISLANDS,32.60,129.90,,Yes
1828,11,9,10,30,,,,,8,PHILIPPINES,,PHILIPPINES:  MANILA,14.55,120.90,,Yes
1828,12,18,,,,,,,,JAPAN,,JAPAN:  SANDYO IN ETIGO,37.50,139.50,1443.00,Yes
1828,12,29,,,,,,,9,INDONESIA,,INDONESIA:  SULAWESI,-7.00,119.00,,Yes
1829,3,7,22,,    ,40,8,,10,RUSSIA,,RUSSIA:  LAKE BAYKAL,51.40,104.10,,No
1829,3,21,18,30,,,,,10,SPAIN,,"SPAIN:  TORREVIEJA, MURCIA",38.20,-0.90,2000.00,No
1829,4,23,16,,    ,,,,10,GREECE,,GREECE-BULGARIA,41.20,24.50,,No
1829,5,5,,,    ,,,,9,GREECE,,GREECE:  XANTHI-DRAMA,41.20,24.50,,No
1829,9,26,19,12,,,7,,11,CHILE,,CHILE:  VALPARAISO,-33.05,-71.63,,No
1829,11,18,,,,,6,,7,CHINA,,CHINA:  ANHUI PROVINCE,33.20,117.90,,No
1829,11,19,,,,,6,,8,CHINA,,CHINA:  SHANDONG PROVINCE,36.60,118.50,200.00,No
1829,11,26,,,,,,,10,ROMANIA,,ROMANIA:  BUCHAREST,44.20,26.10,,No
1830,1,,,,    ,,,,,MEXICO,,MEXICO:  OAXACA,17.00,-96.30,,No
1830,3,9,7,,    ,,,,9,RUSSIA,,RUSSIA,43.50,47.50,,No
1830,3,9,11,22,    ,16,6,,9,RUSSIA,,RUSSIA:  DAGESTAN,43.00,47.00,,No
1830,4,3,,,    ,,7,,,IRAN,,"IRAN:  CHAHARDANGEH,SEMNAN,DAMGHAN",36.40,54.30,,No
1830,5,9,,,    ,,,,,IRAN,,"IRAN:  DAMAVAND,TEHRAN,SEMNAN,DAMGHAN",35.70,52.10,,No
1830,6,12,,,,,8,,10,CHINA,,CHINA:  HEBEI PROVINCE,36.40,114.20,7477.00,No
1830,8,19,,,    ,,,,,JAPAN,,JAPAN:  KYOTO,35.00,136.00,,No
1830,1,18,9,15,,,,,9,PHILIPPINES,,PHILIPPINES:  MANILA,14.55,120.90,,Yes
1830,9,16,,,,,,,,PHILIPPINES,,PHILIPPINES:  MANILA,14.55,120.90,,Yes
1831,4,3,,,    ,,,,7,GREECE,,GREECE:  SAMOS (DODECANESE),37.80,27.00,,No
1831,5,26,10,25,    ,,,,9,ITALY,,ITALY:  COAST OF LIGURIA,43.80,7.80,,No
1831,8,11,,,,,,,,BARBADOS,,"BARBADOS, SAINT VINCENT, DOMINICA, ANTIGUA",13.10,-59.62,3000.00,No
1831,9,11,,,    ,,,,9,ITALY,,ITALY:  REGGIO DI CALABRIA,38.10,15.70,,No
1831,9,28,,,,,6,,8,CHINA,,CHINA:  ANHUI PROVINCE,32.80,116.80,33.00,No
1831,10,9,2,15,,,8,,7,CHILE,,"CHILE: PERU:  TACNA,ARICA,AREQUIPA",-18.50,-71.00,,No
1831,12,3,23,40,    ,,7,,,TRINIDAD AND TOBAGO,,TRINIDAD & ST. CHRISTOPHER,12.40,-61.50,,Yes
1831,,,,,,,,,,NEW ZEALAND,,NEW ZEALAND:  NORTH ISLAND:  POVERTY BAY,-38.70,178.00,,Yes
1832,1,13,13,,,,,,10,ITALY,,ITALY:  FOLIGNO,42.90,12.60,,No
1832,1,22,,,    ,,,,,AFGHANISTAN,,AFGHANISTAN,36.50,71.00,,No
1832,3,8,18,15,    ,,,,10,ITALY,,ITALY:  CUTRO,39.00,17.00,,No
1833,4,25,14,30,    ,,,,10,CHILE,,CHILE,-28.50,-71.30,,No
1833,5,30,,,,,8,,,INDIA,,INDIA:  LOHUGHAR,29.40,80.10,,No
1833,8,26,,,,,8,,,NEPAL,,NEPAL:  KATHMANDU; INDIA:  BIHAR,28.30,85.50,,No
1833,1,19,,,,,6,,10,ALBANIA,,"ALBANIA:  VLORE, SAZAN, KANINA, NARTA",40.40,19.90,,Yes
1833,3,10,,,,,,,,MEXICO,,S. MEXICO,16.80,-99.90,,Yes
1833,9,6,,,,,8,,11,CHINA,,CHINA:  YUNNAN PROVINCE,25.20,103.00,6700.00,Yes
1833,9,18,10,45,,,8,,8,PERU,,PERU-CHILE:  PERU:  TACNA; CHILE:  ARICA,-18.25,-71.01,700.00,Yes
1833,11,24,,,,75,8,,9,INDONESIA,,INDONESIA:  SUMATRA:  BENGKULU,-2.50,100.50,,Yes
1833,12,7,,,,,7,,,JAPAN,,JAPAN:  HONSHU:  NW,38.90,139.15,85.00,Yes
1834,1,20,12,,,5,7,,11,COLOMBIA,,"COLOMBIA:  PUTUMAYO,PASTO, POPAYAN, SANTA MARTA",1.20,-77.00,,No
1834,2,14,,,    ,,,,10,ITALY,,ITALY:  BORGO VAL DI TARO,44.30,9.40,,No
1834,3,1,13,,    ,,,,,COLOMBIA,,COLOMBIA:  PASTO,1.40,-77.10,,No
1834,4,11,,,,,5,,6,CHINA,,CHINA:  YUNNAN PROVINCE,24.90,103.00,,No
1834,5,22,7,,    ,,,,,COLOMBIA,,"COLOMBIA:  SANTA MARTA,CARTAGENA",11.00,-74.20,,No
1834,5,23,,,,,6,,9,JORDAN,,"JORDAN:  AL-KARAK; ISRAEL:  JERUSALEM, NABULUS",31.30,35.60,,No
1834,5,,,,,,,,,USA TERRITORY,GU,GUAM:  AGANA,14.00,143.30,,No
1834,8,12,15,30,    ,,,,,VENEZUELA,,VENEZUELA:  MERIDA,8.80,-70.90,,No
1834,10,10,,,,,,,9,INDONESIA,,"INDONESIA:  JAVA:  BOGOR, CINAJUR",-6.70,107.00,,No
1834,10,15,6,30,    ,32,7,,8,HUNGARY,,"HUNGARY:  PISHKOL'T, ERENDREYD, DENGELEG",47.60,22.30,,No
1834,,,,,,,6,,7,CHINA,,CHINA:  QINGHAI PROVINCE,33.00,97.00,88.00,No
1834,,,,,,,6,,8,CHINA,,CHINA:  TIBET (XIZANG PROVINCE),28.60,87.10,,No
1834,2,9,1,,,,6,,,JAPAN,,"W. HOKKAIDO ISLAND, JAPAN",43.30,141.40,,Yes
1834,3,14,,,,,7,,,MEXICO,,MEXICO:  ACAPULCO,16.80,-99.90,,Yes
1835,4,18,17,25,    ,,,,6,SWITZERLAND,,SWITZERLAND,46.70,7.80,,No
1835,8,23,15,,    ,,,,10,TURKEY,,TURKEY,38.50,35.50,,No
1835,10,12,23,,,,,,11,ITALY,,"ITALY:  CASTIGLIONE,COSENZA,CRATI",39.30,16.30,,No
1835,11,1,,,,,,,9,INDONESIA,,INDONESIA:  MALUKU:  AMBON,-3.70,128.20,,No
1835,2,20,16,22,,,8,,11,CHILE,,CHILE:  CONCEPCION,-36.83,-73.03,53.00,Yes
1835,7,20,,,,,8,,,JAPAN,,JAPAN:  SANRIKU,37.90,141.90,,Yes
1836,4,24,23,15,    ,,,,11,ITALY,,"ITALY:  ROSSANO,CROSIA,CRACO,BASILICATA",39.60,16.60,,No
1836,6,10,15,30,    ,,,,10,USA,CA,CALIFORNIA,38.00,-122.00,,No
1836,11,20,7,,,,,,11,ITALY,,ITALY:  BASILICATA,40.10,15.80,,No
1836,3,5,,,,,,,,INDONESIA,,FLORES SEA,-8.30,118.70,,Yes
1836,7,3,,,,,8,,,CHILE,,CHILE:  COBIJA,-22.60,-70.30,,Yes
1836,11,28,,,,,8,,,INDONESIA,,FLORES SEA,-8.30,118.70,,Yes
1837,4,11,17,,    ,,,,9,ITALY,,ITALY,44.20,10.50,,No
1837,9,10,18,,    ,,,,,VENEZUELA,,"VENEZUELA:  SANTA TERESA DEL TUY,SANTA LUCIA",10.30,-66.60,,No
1837,9,10,,,,,6,,8,CHINA,,CHINA:  GANSU PROVINCE,34.60,103.70,37.00,No
1837,11,22,,,,,8,,,MEXICO,,MEXICO:  GUADALAJARA,20.00,-105.00,,No
1837,11,28,,,,,,,9,INDONESIA,,INDONESIA:  SUMBAWA ISLAND:  BIMA,-8.50,118.50,,No
1837,1,1,1,,,,6,,10,ISRAEL,,ISRAEL: ZEFAT (SAFED); LEBANON:  BEIRUT (BEYROUT),33.00,35.50,5000.00,Yes
1837,8,2,,,    ,,,,,USA TERRITORY,VI,VIRGIN ISLANDS,18.20,-64.50,,Yes
1837,8,9,21,30,,,7,,,MEXICO,,MEXICO: ACAPULCO,16.86,-99.88,,Yes
1837,9,29,,,,100,7,,,INDONESIA,,INDONESIA:  BANDA ATJEH,5.50,96.00,,Yes
1837,10,18,21,0,,,7,,,MEXICO,,"MEXICO: MEXICO CITY,  ACAPULCO",19.45,-99.15,,Yes
1837,11,7,12,51,,,9,,10,CHILE,,CHILE:  VALDIVIA,-42.50,-74.00,16.00,Yes
1838,1,23,18,36,,150,7,,8,ROMANIA,,"ROMANIA:  CARPATHIAN FOLD,VRANCEA",45.70,26.60,,No
1838,6,,,,,,7,,8,USA,CA,"CALIFORNIA:  SAN FRANCISCO,SAN JOSE,SANTA CLARA",37.60,-122.40,,No
1838,,,,,    ,,,,,ISRAEL,,"ISRAEL:  TEL AVIV-YAFO (JAFFA),PALESTINE",32.00,34.50,,No
1838,,,,,,,,,,MYANMAR (BURMA),,MYANMAR (BURMA):  AVA (INNWA),21.80,96.00,,No
1838,5,7,,,,,,,,CHILE,,CHILE:  CENTRAL,-36.70,-73.10,,Yes
1839,1,11,9,55,    ,33,8,,9,MARTINIQUE,,"MARTINIQUE:  FORT-DE-FRANCE, ST PIERRE; CASTRIES",14.40,-61.10,,No
1839,2,7,,,,,6,,8,CHINA,,CHINA:  YUNNAN PROVINCE,26.10,99.90,100.00,No
1839,2,23,,,,,6,,8,CHINA,,CHINA:  YUNNAN PROVINCE,26.10,99.90,129.00,No
1839,3,22,,,,,,,,EL SALVADOR,,EL SALVADOR:  SAN SALVADOR,13.70,-89.20,,No
1839,3,23,,,,,,,11,MYANMAR (BURMA),,"MYANMAR (BURMA):  AVA, AMARAPURA",21.90,96.00,,No
1839,4,12,,,    ,,,,,VENEZUELA,,VENEZUELA:  CUMANA,10.50,-64.20,,No
1839,6,27,,,,,7,,8,TAIWAN,,TAIWAN: JIAYI,23.40,120.40,117.00,No
1839,8,16,17,30,    ,,,,7,SWITZERLAND,,SWITZERLAND,45.90,6.10,,No
1839,3,,,,,,,,,USA,HI,HAWAII,,,,Yes
1839,5,1,,,,,7,,,JAPAN,,"SE. HOKKAIDO ISLAND, JAPAN",42.50,145.00,,Yes
1840,7,2,16,,,,7,,9,TURKEY,,"TURKEY:  MT ARARAT, AGURI, ARALIKH; IRAN:  MAKU",39.70,44.40,1049.00,No
1840,8,27,12,5,    ,8,5,,7,SLOVENIA,,BALKANS NW:  SLOVENIA:  LJUBLJANA,46.20,14.70,,No
1840,10,30,,,,,,,10,GREECE,,GREECE:  ZAKINTHOS (ZANTE),38.00,21.00,,No
1840,1,4,,,,150,7,,9,INDONESIA,,INDONESIA:  JAVA:  PURWOREJO,-8.00,110.50,,Yes
1840,1,28,8,,,40,,,5,PERU,,PERU:  LIMA,-12.30,-77.30,,Yes
1840,2,14,,,,,,,,INDONESIA,,INDONESIA:  MALUKU:  TERNATE ISLAND,0.80,127.33,,Yes
1840,3,22,,,,,7,,9,PHILIPPINES,,"PHILIPPINES:  SORSOGON,MASBATE IS,CASIGURAN,ALBAY",12.90,123.90,52.00,Yes
1840,11,11,,,,,5,,,USA,PA,PENNSYLVANIA:  PHILADELPHIA,39.80,-75.20,,Yes
1841,6,15,5,30,    ,,,,10,AZORES (PORTUGAL),,AZORES:  PRAIA DA VITORIA,38.40,-25.30,,No
1841,9,2,12,15,    ,,,,,COSTA RICA,,COSTA RICA:  CARTAGO; NICARAGUA,10.00,-84.00,,No
1841,5,17,21,30,,30,8,,11,RUSSIA,,RUSSIA:  OFF KAMCHATKA,52.00,158.00,,Yes
1841,11,26,,,,,,,,INDONESIA,,INDONESIA:  N. MOLUCCAS ISLANDS,-5.00,130.00,,Yes
1841,12,16,,,,,6,,8,INDONESIA,,INDONESIA:  BANDA SEA,-4.00,127.50,,Yes
1842,1,2,,,    ,3,4,,8,AZERBAIJAN,,AZERBAIJAN:  APSCHERON PENINSULA,40.50,50.00,,No
1842,2,19,,,    ,,,,,AFGHANISTAN,,AFGHANISTAN:  JALALABAD,34.40,70.50,,No
1842,4,18,8,30,,100,,,9,GREECE,,GREECE:  MAINA (LACONIA),36.50,22.30,,No
1842,6,11,,,,,7,,9,CHINA,,CHINA: XINJIANG PROVINCE,43.60,93.00,,No
1842,12,8,,,,,,,9,ETHIOPIA,,ETHIOPIA:  ANKOBER,9.60,39.80,,No
1842,5,7,21,,,,8,,,HAITI,,HAITI:  CAP-HAITIEN,19.75,-72.20,5300.00,Yes
1842,11,1,,,,,,,,CANADA,,CANADA:  MONTREAL,,,,Yes
1842,11,11,,,,,6,,,BANGLADESH,,BANGLADESH:,24.00,89.25,,Yes
1843,2,1,,,    ,,,,,IRAN,,IRAN:  AZARBAIJAN:  KHVOY (KHOY),38.30,44.60,,No
1843,4,1,,,    ,,,,,INDIA,,INDIA:  DECCAN,19.00,77.00,,No
1843,4,18,,,    ,,,,7,IRAN,,IRAN:  KHVOY (KHOY),38.60,44.90,,No
1843,12,17,22,15,    ,,,,10,CHILE,,CHILE,-29.90,-71.30,,No
1843,1,5,,,,70,7,,,INDONESIA,,SW. SUMATRA,1.50,98.00,,Yes
1843,2,7,,,,,6,,,INDONESIA,,INDONESIA:  JAVA:  GENTENG ISLAND,-7.20,114.00,,Yes
1843,2,8,14,50,    ,33,8,,9,GUADELOUPE,,GUADELOUPE:  POINTE-A-PITRE,16.50,-62.20,5000.00,Yes
1843,4,25,,,,,8,,,JAPAN,,"JAPAN:  HOKKAIDO: YEZO, KUSHIRO, NEMURO",42.00,146.00,45.00,Yes
1843,7,8,5,5,,33,8,,,NEW ZEALAND,,NEW ZEALAND:  WANGANUI,-39.90,175.00,,Yes
1843,10,18,,,    ,,,,9,GREECE,,GREECE:  CHALKI (DODECANESE),36.30,27.50,,Yes
1844,4,16,13,20,    ,,,,8,USA TERRITORY,PR,PUERTO RICO:  SAN JUAN; ST THOMAS,18.30,-66.80,,No
1844,5,12,,,,,,,9,TURKEY,,"TURKEY:  OSMANCIK, ANKARA",40.98,34.80,200.00,No
1844,5,12,,,,,6,,,IRAN,,"IRAN:  KASHAN, QAMSAR, KAMU, KUSHIAN, CHUKA",33.60,51.40,1500.00,No
1844,5,13,,,,,7,,,IRAN,,"IRAN:  MIYANEH, GARMRUD, ESFAHAN",37.40,48.00,,No
1844,8,30,7,10,    ,,,,,SAINT VINCENT AND THE GRENADINES,,SAINT VINCENT:  KINGSTOWN,13.10,-61.10,,No
1844,8,,,,    ,,,,,NICARAGUA,,NICARAGUA:  SAN JUAN DEL NORTE(GREYTOWN),11.00,-84.00,,No
1844,10,19,1,30,    ,,,,8,ARGENTINA,,"ARGENTINA:  SALTA, JUJUY, TUCUMAN",-25.00,-66.00,,No
1844,5,,,,,,7,,,NICARAGUA,,"NICARAGUA: RIVAS, GREYTOWN",11.20,-84.80,,Yes
1845,2,12,,,,,,,,ETHIOPIA,,ETHIOPIA,12.30,39.00,,No
1845,2,19,,,    ,,,,,COLOMBIA,,COLOMBIA:  MAGDALENA RIVER,11.10,-74.50,,No
1845,2,,,,,,6,,8,TAIWAN,,TAIWAN:  ZHANGHUA,24.10,120.50,380.00,No
1845,3,9,,,    ,,,,,MEXICO,,MEXICO:  OAXACA,17.00,-96.30,,No
1845,6,4,2,15,    ,,,,10,CHILE,,CHILE,-18.50,-70.40,,No
1845,10,11,,,    ,,,,10,TURKEY,,TURKEY,39.10,26.20,,No
1845,12,21,20,40,    ,7,5,,7,SLOVENIA,,BALKANS NW:  SLOVENIA:  LJUBLJANA,46.10,14.50,,No
1845,2,8,7,30,,,7,,9,INDONESIA,,"INDONESIA:  N SULAWESI:  MENADO, TIKALA, TOMOHON",1.48,124.85,118.00,Yes
1845,4,7,,,,,8,,,MEXICO,,MEXICO:  MEXICO CITY,17.00,-100.60,,Yes
1845,6,19,,,,,6,,8,INDIA,,INDIA:  RANN OF KUTCH,23.58,68.37,,Yes
1845,7,5,,,,,,,,NEW ZEALAND,,N. NEW ZEALAND,-39.93,175.05,,Yes
1846,3,13,11,0,,,,,8,CHILE,,CHILE:  COIAPO,-27.35,-70.35,,No
1846,6,10,18,,,,,,10,GREECE,,GREECE:  MESSINI-MICROMANI (MESSINIA),37.00,22.00,,No
1846,6,28,1,15,,50,8,,6,PERU,,PERU,-14.00,-76.80,,No
1846,8,7,,,,,,,11,ITALY,,ITALY:  SIRACUSA (SYRACUSE),37.00,15.30,,No
1846,12,10,,,    ,,8,,,INDIA,,INDIA,26.00,93.00,,No
1846,1,25,0,0,,,7,,,INDONESIA,,INDONESIA:  N. MOLUCCAS ISLANDS,2.00,126.50,,Yes
1846,3,,,,,,7,,,JAPAN,,"SANRIKU, JAPAN",39.50,142.50,,Yes
1846,8,14,12,35,,5,6,,10,ITALY,,"ITALY:  ORCIANO, LUCIANA",43.40,10.60,56.00,Yes
1847,3,8,15,0,,,,,10,CHILE,,CHILE,-32.45,-71.27,,No
1847,5,8,,,,,7,,,JAPAN,,"JAPAN:  ZENKOJI, NAGANO",37.00,138.00,12000.00,No
1847,6,21,,,    ,40,8,,,RUSSIA,,RUSSIA:  KURIL ISLANDS,46.00,152.00,,No
1847,8,7,,,,,,,11,EGYPT,,"EGYPT:  AL-FAYYUM, CAIRO",29.50,30.50,126.00,No
1847,10,2,,,,,,,,MEXICO,,MEXICO:  OAXACA,17.00,-96.30,,No
1847,10,8,,,,,7,,8,CHILE,,CHILE:  COQUIMBO,-31.61,-71.18,,No
1847,11,16,,,,,,,,INDONESIA,,INDONESIA:  JAVA:  CHERIBON,-6.67,108.55,,No
1847,12,19,6,0,,,,,10,PORTUGAL,,PORTUGAL:  LISBON,38.70,-9.20,,No
1847,5,23,,,,,,,,PERU,,PERU:  CALLAO,-12.10,-77.10,,Yes
1847,10,19,,,,,,,,CHILE,,CHILE:  COQUIMBO,-31.61,-71.18,,Yes
1847,10,31,,,,,,,,INDIA,,INDIA:  LITTLE NICOBAR ISLAND,7.33,93.67,,Yes
1848,1,11,,,    ,,,,11,ITALY,,ITALY:  SICILY,37.20,15.20,,No
1848,2,,,,,,,,,MOROCCO,,MOROCCO:  MELILLA,35.30,-2.97,,No
1848,5,31,,,    ,,,,,MEXICO,,"MEXICO:  OAXACA,GUERRERO",17.00,-96.30,,No
1848,10,17,4,10,,,6,,,NEW ZEALAND,,NEW ZEALAND:  COOK STRAIT,,,,No
1848,10,18,17,33,,,6,,,NEW ZEALAND,,"NEW ZEALAND:  AWATERE RIVER, MARLBOROUGH",-41.67,174.00,3.00,No
1848,12,3,,,,,7,,9,TAIWAN,,TAIWAN: ZHANGHUA,24.10,120.50,1001.00,No
1848,7,12,,,,,7,,,FRENCH POLYNESIA,,FRENCH POLYNESIA:  TAHITI,-17.90,-149.90,,Yes
1848,10,15,14,10,,,8,,,NEW ZEALAND,,NEW ZEALAND:  N.,-41.30,174.50,,Yes
1849,2,26,9,30,,13,6,,9,VENEZUELA,,VENEZUELA:  TACHIRA (LOBATERA),7.30,-72.30,,No
1849,5,3,10,,    ,,,,,VENEZUELA,,VENEZUELA:  MARACAIBO,10.70,-71.60,,No
1849,1,25,5,10,,,8,,9,USA TERRITORY,GU,GUAM,14.00,143.30,,Yes
1849,9,28,9,,,,,,,RUSSIA,,RUSSIA:  KAMCHATKA,55.00,166.00,,Yes
1849,10,28,9,0,,20,8,,10,RUSSIA,,RUSSIA:  KOMANDORSKY ISLAND,55.00,166.00,,Yes
1849,11,17,10,10,,,8,,8,CHILE,,CHILE:  COQUIMBO,-29.95,-71.37,,Yes
1850,4,29,,,    ,,,,11,CROATIA,,BALKANS NW:  CROATIA:  STON,42.80,17.70,,No
1850,9,12,,,,,8,,10,CHINA,,CHINA:  SICHUAN:  XICHANG,27.80,102.30,20650.00,No
1850,,,,,,,5,,6,CHINA,,CHINA:  GANSU PROVINCE:  WUSBAN,34.70,104.90,,No
1851,1,1,,,    ,,,,6,SWITZERLAND,,SWITZERLAND,46.30,8.00,,No
1851,1,20,,,    ,,,,9,ALBANIA,,ALBANIA,41.20,20.20,,No
1851,2,2,10,,,,,,,COLOMBIA,,COLOMBIA:  CARTAGENA,10.40,-75.40,,No
