Year,Month,Day,Hour,Minute,Second,FocalDepth,EQRichterMag,EQMomentMag,ModMercalli,Country,State,LocationName,Lat,Lon,DeathCount,Tsunami
55,,,,,    ,,,,10,GREECE,,GREECE:  CRETE,35.00,25.00,,No
57,,,,,    ,,,,10,ALBANIA,,ALBANIA:  DURRES,41.20,19.30,,No
60,,,,,,,,,9,TURKEY,,"TURKEY:  LAODICEA, HIERAPOLIS, COLOSSAE, [PAMUKKALE]",37.90,29.20,,No
62,,,,,,,7,,9,GREECE,,GREECE:  CRETE,35.20,25.10,,Yes
63,,,,,,,,,10,ITALY,,ITALY:  POMPEI,40.70,14.50,,No
76,,,,,,,,,10,CYPRUS,,"CYPRUS:  PAPHOS, SALAMIS",34.80,32.00,,Yes
79,8,24,,,,,,,10,ITALY,,ITALY:  NAPLES (NAPOLI),40.82,14.43,3500.00,No
89,,,,,    ,,6,,8,SOUTH KOREA,,SOUTH KOREA:  KWANGJU,35.90,126.50,,No
93,,,,,    ,,,,,TURKEY,,TURKEY:  HELLESPONT,40.60,26.70,,No
100,,,,,,,6,,8,SOUTH KOREA,,SOUTH KOREA:  KYONGJU,35.80,129.20,,No
105,,,,,,,,,10,TURKEY,,TURKEY,39.50,27.00,,No
109,,,,,,,,,,TURKEY,,TURKEY:  GALATIA,40.00,34.00,,No
115,12,13,,,,,8,,11,TURKEY,,TURKEY:  ANTAKYA (ANTIOCH),36.10,36.10,260000.00,Yes
120,,,,,,,7,,9,TURKEY,,"TURKEY: NICOMEDIA, NICAEA",40.77,29.92,,Yes
123,,,,,,,6,,8,SOUTH KOREA,,SOUTH KOREA:  KYONGJU,35.80,129.20,,Yes
128,2,23,,,,,7,,8,CHINA,,CHINA:  GANSU PROVINCE:  GANGU,34.70,105.40,,No
138,3,1,,,,,7,,9,CHINA,,CHINA:  GANSU PROVINCE,35.80,103.50,,No
142,,,,,,,7,7,8,GREECE,,GREECE:  RHODES,36.70,28.00,,Yes
143,10,,,,,,7,,9,CHINA,,CHINA:  GANSU PROVINCE,34.70,105.30,,No
155,,,,,    ,100,,,10,GREECE,,GREECE:  DODECANESE ISLANDS,36.50,28.50,,No
170,,,,,    ,,,,,GREECE,,"GREECE-TURKEY:  VITINIA,HELLESPONT",39.00,24.50,,No
173,6,28,,,,,,,,CHINA,,CHINA:  YELLOW SEA,37.50,120.00,,Yes
177,,,,,,,,,7,TURKEY,,"TURKEY: IZMIR, AEGEAN ISLANDS",38.60,26.65,,No
177,,,,,,,,,9,ITALY,,ITALY:  SICILY,38.00,15.00,,Yes
180,9,,,,,,8,,10,CHINA,,CHINA:  GANSU PROVINCE,39.40,99.50,,No
243,,,,,    ,,5,,,ITALY,,"ITALY:  VERONA,BENACO",45.30,11.00,,No
251,7,9,,,    ,,,,10,GREECE,,GREECE:  CRETE,35.50,25.50,,No
253,7,9,,,    ,,,,10,TURKEY,,TURKEY,39.10,27.20,,No
258,,,,,,,,,8,ITALY,,ITALY:  ROME,41.90,12.45,,Yes
262,,,,,,,,,,TURKEY,,TURKEY:  S COASTS; LIBYA,36.60,30.00,,Yes
294,7,,,,,,6,,7,CHINA,,CHINA:  ANHUI PROVINCE:  SHOUXIAN,32.60,116.80,,No
294,9,,,,,,6,,7,CHINA,,CHINA:  BEIJING,40.30,116.00,101.00,No
304,,,,,    ,,6,,8,SOUTH KOREA,,SOUTH KOREA:  KYONGJU,35.50,129.10,,No
306,,,,,    ,,,,9,LEBANON,,"LEBANON:  SUR (TYRE), SAYDA (SAIDA)",33.20,35.10,,No
315,,,,,,,,,,ISRAEL,,ISRAEL:  AEROPOLIS,31.70,35.50,,Yes
319,6,17,,,,,5,,,CHINA,,CHINA:  GANSU PROVINCE:  XIHE,34.10,105.30,,No
324,8,6,,,    ,,,,10,ITALY,,ITALY:  CAMPANIA,40.50,14.50,,No
334,,,,,    ,,,,10,ALBANIA,,ALBANIA:  DURRES,41.20,19.30,,No
340,,,,,    ,,,,9,TURKEY,,TURKEY:  ANTAKYA (ANTIOCH),36.10,36.10,,No
341,,,,,    ,,,,7,TURKEY,,TURKEY:  ANTAKYA (ANTIOCH),36.20,36.10,,No
342,,,,,,,,,,TURKEY,,TURKEY:  ANTAKYA (ANTIOCH),36.20,36.10,40000.00,No
342,,,,,,,,,10,ALBANIA,,ALBANIA:  DURRES,41.30,19.50,,No
344,4,11,,,,,,,10,ITALY,,ITALY:  CAMPANIA,40.50,14.50,,No
344,,,,,,,,,,CHINA,,CHINA:  HENAN PROVINCE,35.40,114.30,101.00,No
344,,,,,,,,,9,TURKEY,,TURKEY:  DARDANELLES,40.30,26.50,,Yes
346,,,,,,,7,,9,ALBANIA,,ALBANIA:  DURRES (DYRRACHIUM),41.40,19.40,,Yes
348,,,,,,,,,9,LEBANON,,LEBANON:  BAYRUT (BEROUTH),33.90,35.50,,Yes
350,10,,,,    ,,,,10,TURKEY,,TURKEY,41.00,30.00,,No
355,,,,,    ,,,,9,TURKEY,,"TURKEY:  IZMIT,NICOMEDIA",40.70,29.70,,No
358,8,24,,,,,,,7,TURKEY,,"TURKEY:  IZNIK, IZMIT [NICOMEDIA]",40.77,29.90,,Yes
361,,,,,,,,,12,MACEDONIA,,BALKANS NW:  MACEDONIA:  STOBI,41.60,21.50,,No
362,12,2,,,,,,,10,TURKEY,,TURKEY,41.00,29.50,,No
362,5,24,,,,,6,,,JORDAN,,JORDAN:  AL-KARAK,31.30,35.60,,Yes
365,7,21,,,,,8,,11,GREECE,,GREECE:  CRETE:  KNOSSOS,35.00,23.00,5000.00,Yes
367,10,11,,,    ,,,,,TURKEY,,"TURKEY:  IZNIK,NICAEA",40.70,29.70,,No
368,10,11,,,,,,,,TURKEY,,TURKEY:  NICAEA [IZNIK],40.00,29.00,,No
368,,,,,,,6,,8,TURKEY,,TURKEY:  MARMARA SEA,40.50,29.60,,No
369,,,,,,,,,10,ITALY,,ITALY:  BENEVENTO,41.10,14.80,,No
382,,,,,,,,,,PORTUGAL,,PORTUGAL:  CABO SAN VICENTE:  SW,36.00,-10.83,,Yes
394,,,,,    ,,,,9,TURKEY,,TURKEY:  ANTAKYA (ANTIOCH),36.10,36.10,,No
396,,,,,    ,,,,9,TURKEY,,TURKEY:  ANTAKYA (ANTIOCH),36.10,36.10,,No
407,4,1,,,,,7,,8,TURKEY,,TURKEY:  MARMARA SEA,41.00,29.00,,Yes
412,,,,,,,,,10,TUNISIA,,TUNISIA:  UTIQUE,37.07,10.07,,No
419,,,,,,,,,,ISRAEL,,ISRAEL:  PALESTINE,31.20,34.20,,No
425,,,,,,,,,10,ISRAEL,,"ISRAEL:  JERUSALEM, PALESTINE, RAMLEH; EGYPT",31.90,34.90,,No
427,,,,,    ,12,7,,10,AZERBAIJAN,,AZERBAIJAN,40.50,46.50,,No
438,,,,,    ,,,,10,GREECE,,GREECE:  CRETE,35.50,25.50,,No
440,10,26,,,    ,,,,7,TURKEY,,TURKEY:  ISTANBUL (CONSTANTINOPLE),41.00,29.00,,No
447,1,26,,,,,7,,9,TURKEY,,TURKEY:  ISTANBUL (CONSTANTINOPLE),40.90,28.50,,Yes
448,9,6,,,    ,,,,10,GREECE,,GREECE:  CRETE,35.00,25.00,,No
450,,,,,,,,,5,TURKEY,,INSTANBUL (CONSTANTINOPLE),40.40,28.40,,Yes
457,,,,,,,,,10,TURKEY,,TURKEY:  ANTAKYA (ANTIOCH),36.20,36.10,,No
458,9,,,,,,,,9,TURKEY,,TURKEY:  ANTAKYA (ANTIOCH),36.20,36.10,80000.00,No
460,7,22,,,,,,,12,THAILAND,,THAILAND:  YONOK-NAGABANDHU,20.30,100.00,,No
470,,,,,    ,,,,,FRANCE,,"FRANCE:  VIENNE,VIVARAIS,DAUPHINE,VELAY,FOREZ",44.40,4.30,,No
477,9,25,,,    ,,,,10,TURKEY,,TURKEY:  ISTANBUL (CONSTANTINOPLE),41.00,29.00,,No
478,9,25,,,,,7,,9,TURKEY,,TURKEY:  MARMARA SEA,40.80,29.20,,Yes
494,,,,,    ,,,,10,LEBANON,,LEBANON:  TARABULUS (TRIPOLIS); SYRIA,34.30,35.50,,No
499,8,4,,,,,,,6,CHINA,,CHINA:  JIANGSU PROVINCE,32.10,118.80,,No
500,,,,,    ,20,7,,8,KAZAKHSTAN,,KAZAKHSTAN,42.70,76.50,,No
501,,,,,,,6,,8,NORTH KOREA,,NORTH KOREA:  PYONGYANG,39.00,125.30,,No
510,,,,,    ,,6,,8,SOUTH KOREA,,SOUTH KOREA:  KYONGJU,35.50,129.10,,No
512,5,21,,,,,8,,10,CHINA,,CHINA:  SHAANXI PROVINCE:  YINGXIAN,39.40,113.30,5130.00,No
518,,,,,,,,,12,MACEDONIA,,"BALKANS NW:  MACEDONIA:  SKOPJE, STAMER",42.00,21.40,,No
521,,,,,    ,,,,,GREECE,,"GREECE:  DURRES,KORINTHOS",39.60,21.20,,No
522,,,,,    ,,,,10,SYRIA,,SYRIA,36.20,36.10,,No
522,,,,,    ,,,,10,ALBANIA,,ALBANIA:  DURRES,41.20,19.30,,No
525,5,29,,,,,7,,9,TURKEY,,"TURKEY:  ANTAKYA (ANTIOCH), SAMANDAG",36.25,36.10,250000.00,No
527,,,,,    ,,,,10,GREECE,,GREECE-ALBANIA,40.10,20.80,,No
528,11,29,,,,,7,,10,TURKEY,,TURKEY:  ANTAKYA (ANTIOCH),36.25,36.10,4870.00,No
533,11,29,,,,,,,,SYRIA,,SYRIA:  ALEPPO,36.20,37.20,130000.00,No
543,,,,,,,7,,10,TURKEY,,TURKEY:  CYZICUS,40.30,27.80,,Yes
551,4,,,,,,,,,GREECE,,GREECE:  MALIAKOS GULF,,,,Yes
551,7,7,,,,,7,,9,GREECE,,"GREECE:  SCHISMA, BOETIA",38.40,22.30,5000.00,Yes
551,7,9,,,,,,,10,LEBANON,,LEBANON:  BAYRUT (BEIRUT); EGYPT; IRAQ;SAUDI ARABIA,33.90,35.50,,Yes
552,7,9,,,    ,,,,10,SYRIA,,SYRIA:  HALAB (ALEPPO); TURKEY:  ANTAKYA (ANTIOCH),36.10,37.10,,No
553,7,9,,,    ,,,,10,LEBANON,,LEBANON:  BAYRUT (BEIRUT),33.90,35.50,,No
554,8,15,,,,,,,,TURKEY,,TURKEY: MANDELIA,36.50,27.50,,Yes
555,8,15,,,,,,,10,TURKEY,,TURKEY:  ISTANBUL (CONSTANTINOPLE),41.04,28.98,,No
557,7,9,,,,,,,10,TURKEY,,TURKEY:  ANTAKYA (ANTIOCH),36.10,36.10,,No
557,10,14,,,,,,,,TURKEY,,TURKEY:  MARMARA SEA,40.90,27.60,,No
557,,,,,,,7,,9,TURKEY,,TURKEY:  ISTANBUL (CONSTANTINOPLE),40.90,27.60,,Yes
558,12,25,,,,,,,10,ITALY,,ITALY:  ANCONA,43.60,13.50,,No
558,12,14,,,,,7,,9,TURKEY,,TURKEY,40.90,28.80,,Yes
565,,,,,    ,,,,,TURKEY,,TURKEY:  ANTAKYA (ANTIOCH),36.20,36.10,,No
567,,,,,    ,,,,10,SLOVENIA,,BALKANS NW:  SLOVENIA,45.60,15.30,,No
579,,,,,    ,,,,,TURKEY,,TURKEY:  ANTAKYA (ANTIOCH),36.00,36.00,,No
581,7,9,,,    ,,,,9,TURKEY,,TURKEY:  ANTAKYA (ANTIOCH),36.10,36.10,,No
587,9,30,,,,,,,9,TURKEY,,TURKEY:  ANTAKYA (ANTIOCH),36.25,36.10,60000.00,No
600,12,13,,,,,,,7,CHINA,,CHINA:  SHAANXI PROVINCE,34.30,108.90,101.00,No
614,,,,,    ,,,,,ITALY,,ITALY,41.00,15.00,,No
