Year,Month,Day,TSU,EQ,Name,Location,Country,Lat,Lon,Elevation,Type,Deaths
1846,5,7,NO,NO,Taupo,New Zealand,New Zealand,-38.82,176.00,760,Caldera,
1846,5,27,NO,NO,Tangkubanparahu,Java,Indonesia,-6.77,107.60,2084,Stratovolcano,63
1846,11,18,NO,NO,E-san,Hokkaido-Japan,Japan,41.80,141.17,618,Stratovolcano,
1847,4,9,NO,NO,Fogo,Cape Verde Is,Cape Verde,14.95,-24.35,2829,Stratovolcano,
1847,12,4,NO,NO,Dieng Volc Complex,Java,Indonesia,-7.20,109.92,2565,Complex volcano,
1848,5,16,NO,NO,Kelut,Java,Indonesia,-7.93,112.31,1731,Stratovolcano,
1850,,,NO,NO,Rabaul,New Britain-SW Pac,Papua New Guinea,-4.27,152.20,688,Pyroclastic shield,21
1853,10,29,YES,NO,Unnamed,Taiwan-E of,Taiwan,24.00,121.83,0,Submarine volcano,34
1853,7,13,NO,NO,Mayon,Luzon-Philippines,Philippines,13.26,123.69,2462,Stratovolcano,
1853,6,24,NO,NO,Niuafo'ou,Tonga-SW Pacific,Tonga,-15.60,-175.63,260,Shield volcano,25
1854,6,27,YES,NO,Alaid,Kuril Is,Russia,50.86,155.55,2339,Stratovolcano,3
1854,2,,NO,NO,Aso,Kyushu-Japan,Japan,32.88,131.10,1592,Caldera,
1854,2,18,NO,NO,Shiveluch,Kamchatka,Russia,56.65,161.36,3283,Stratovolcano,
1856,3,2,YES,NO,Awu,Sangihe Is-Indonesia,Indonesia,3.67,125.50,1320,Stratovolcano,
1856,7,26,YES,NO,Shishaldin,Aleutian Is,United States,54.75,-163.97,2857,Stratovolcano,
1856,9,25,NO,NO,Komaga-take,Hokkaido-Japan,Japan,42.07,140.68,1140,Stratovolcano,2806
1857,4,17,YES,YES,Umboi,New Guinea-NE of,Papua New Guinea,-5.59,147.88,1548,Complex volcano,20
1858,1,,NO,NO,Mayon,Luzon-Philippines,Philippines,13.26,123.69,2462,Stratovolcano,
1858,4,23,NO,NO,Tate-yama,Honshu-Japan,Japan,36.57,137.60,2621,Stratovolcano,
1858,7,3,NO,NO,Tate-yama,Honshu-Japan,Japan,36.57,137.60,2621,Stratovolcano,
1860,,,NO,NO,Grimsvotn,Iceland-NE,Iceland,64.42,-17.33,1725,Caldera,
1860,4,,NO,NO,Semeru,Java,Indonesia,-8.11,112.92,3676,Stratovolcano,
1860,8,18,NO,NO,Fuego,Guatemala,Guatemala,14.47,-90.88,3763,Stratovolcano,
1861,12,29,NO,NO,Makian,Halmahera-Indonesia,Indonesia,0.32,127.40,1357,Stratovolcano,1
1861,5,7,NO,NO,Dubbi,Africa-NE,Eritrea,13.58,41.81,1625,Stratovolcano,106
1861,5,,NO,NO,Grimsvotn,Iceland-NE,Iceland,64.42,-17.33,1725,Caldera,
1863,8,17,YES,YES,Yasur,Vanuatu-SW Pacific,Vanuatu,-19.52,169.43,361,Stratovolcano,326
1864,1,3,NO,NO,Kelut,Java,Indonesia,-7.93,112.31,1731,Stratovolcano,
1866,9,12,YES,NO,Ofu-Olosega,Samoa-SW Pacific,United States,-14.18,-169.62,639,Shield volcano,1
1866,2,20,NO,NO,Santorini,Greece,Greece,36.40,25.40,329,Shield volcano,54
1867,10,21,NO,NO,Zao,Honshu-Japan,Japan,38.15,140.45,1841,Complex volcano,
1868,4,3,YES,YES,Mauna Loa,Hawaiian Is,United States,19.48,-155.61,4170,Shield volcano,3
1868,9,5,YES,YES,Etna,Italy,Italy,37.73,15.00,3350,Stratovolcano,77
1869,8,,NO,NO,Lamongan,Java,Indonesia,-8.00,113.34,1651,Stratovolcano,
1869,7,7,NO,NO,Lewotobi,Lesser Sunda Is,Indonesia,-8.53,122.78,1703,Stratovolcano,2
1870,8,,NO,NO,Ruang,Sangihe Is-Indonesia,Indonesia,2.28,125.43,725,Stratovolcano,8
1870,,,NO,NO,Aoba,Vanuatu-SW Pacific,Vanuatu,-15.40,167.83,1496,Shield volcano,
1870,,,NO,NO,Iliwerung,Lesser Sunda Is,Indonesia,-8.54,123.59,1018,Complex volcano,
1871,4,30,YES,YES,Camiguin,Mindanao-Philippines,Philippines,9.20,124.67,1332,Stratovolcano,1
1871,3,3,YES,NO,Ruang,Sangihe Is-Indonesia,Indonesia,2.28,125.43,725,Stratovolcano,
1871,12,8,NO,NO,Mayon,Luzon-Philippines,Philippines,13.26,123.69,2462,Stratovolcano,
1871,8,7,NO,NO,Gamalama,Halmahera-Indonesia,Indonesia,0.80,127.33,1715,Stratovolcano,400
1872,11,3,NO,NO,Merapi,Java,Indonesia,-7.54,110.44,2947,Stratovolcano,3
1872,4,17,NO,NO,Merapi,Java,Indonesia,-7.54,110.44,2947,Stratovolcano,30
1872,4,15,NO,NO,Merapi,Java,Indonesia,-7.54,110.44,2947,Stratovolcano,170
1872,4,24,NO,NO,Vesuvius,Italy,Italy,40.82,14.43,1281,Complex volcano,9
1872,12,,NO,NO,Aso,Kyushu-Japan,Japan,32.88,131.10,1592,Caldera,200
1872,,,NO,NO,Sinarka,Kuril Is,Russia,48.88,154.18,934,Stratovolcano,4
1873,,,NO,NO,Vesuvius,Italy,Italy,40.82,14.43,1281,Complex volcano,
1873,1,16,NO,NO,Ragang,Mindanao-Philippines,Philippines,7.67,124.50,2815,Stratovolcano,
1874,7,3,NO,NO,Miyake-jima,Izu Is-Japan,Japan,34.08,139.53,815,Stratovolcano,9
1874,7,19,NO,NO,Taal,Luzon-Philippines,Philippines,14.00,120.99,400,Stratovolcano,1
1875,,,NO,NO,Mayon,Luzon-Philippines,Philippines,13.26,123.69,2462,Stratovolcano,
1875,1,29,NO,NO,Kelut,Java,Indonesia,-7.93,112.31,1731,Stratovolcano,
1875,3,29,NO,NO,Askja,Iceland-NE,Iceland,65.03,-16.75,1516,Stratovolcano,
1877,2,14,YES,YES,Mauna Loa,Hawaiian Is,United States,19.48,-155.61,4170,Shield volcano,
1877,6,25,NO,NO,Cotopaxi,Ecuador,Ecuador,-0.68,-78.44,5911,Stratovolcano,1500
1878,2,11,YES,YES,Yasur,Vanuatu-SW Pacific,Vanuatu,-19.52,169.43,361,Stratovolcano,1
1878,8,29,YES,YES,Okmok,Aleutian Is,United States,53.42,-168.13,1073,Shield volcano,
1878,1,,YES,NO,Rabaul,New Britain-SW Pac,Papua New Guinea,-4.27,152.20,688,Pyroclastic shield,340
1878,1,10,YES,NO,Yasur,Vanuatu-SW Pacific,Vanuatu,-19.52,169.43,361,Stratovolcano,
1879,2,4,YES,NO,Stromboli,Italy,Italy,38.79,15.21,926,Stratovolcano,
1883,8,27,YES,NO,Krakatau,Indonesia,Indonesia,-6.10,105.42,813,Caldera,
1883,10,6,YES,NO,Augustine,Alaska-SW,United States,59.37,-153.42,1252,Lava dome,
1883,10,10,YES,NO,Krakatau,Indonesia,Indonesia,-6.10,105.42,813,Caldera,8
1883,3,,NO,NO,Karthala,Indian O-W,Comoros,-11.75,43.38,2361,Shield volcano,36417
1883,12,,NO,NO,Bagana,Bougainville-SW Paci,Papua New Guinea,-6.14,155.20,1750,Lava cone,
1884,2,,YES,NO,Krakatau,Indonesia,Indonesia,-6.10,105.42,813,Caldera,
1885,5,25,NO,YES,Purace,Colombia,Colombia,2.32,-76.40,4650,Stratovolcano,74
1885,4,18,NO,NO,Semeru,Java,Indonesia,-8.11,112.92,3676,Stratovolcano,
1886,6,10,NO,NO,Okataina,New Zealand,New Zealand,-38.12,176.50,1111,Lava dome,
1886,1,11,NO,NO,Tungurahua,Ecuador,Ecuador,-1.47,-78.44,5023,Stratovolcano,2
1886,8,31,NO,NO,Niuafo'ou,Tonga-SW Pacific,Tonga,-15.60,-175.63,260,Shield volcano,153
1887,3,9,NO,NO,Mayon,Luzon-Philippines,Philippines,13.26,123.69,2462,Stratovolcano,
1888,3,13,YES,NO,Ritter Island,New Guinea-NE of,Papua New Guinea,-5.52,148.12,140,Stratovolcano,
1888,7,15,NO,NO,Bandai,Honshu-Japan,Japan,37.60,140.08,1819,Stratovolcano,15
1889,9,6,YES,YES,Banua Wuhu,Sangihe Is-Indonesia,Indonesia,3.14,125.49,-5,Submarine volcano,461
1890,6,29,NO,NO,Makian,Halmahera-Indonesia,Indonesia,0.32,127.40,1357,Stratovolcano,
1890,,,NO,NO,Victory,New Guinea,Papua New Guinea,-9.20,149.07,1925,Stratovolcano,
1892,6,7,YES,NO,Awu,Sangihe Is-Indonesia,Indonesia,3.67,125.50,1320,Stratovolcano,
1892,8,30,YES,NO,Tofua,Tonga-SW Pacific,Tonga,-19.75,-175.07,512,Caldera,1532
1892,5,21,NO,NO,Sorikmarapi,Sumatra,Indonesia,0.69,99.54,2145,Stratovolcano,180
1893,5,19,NO,NO,Azuma,Honshu-Japan,Japan,37.73,140.25,2024,Stratovolcano,
1893,1,7,NO,NO,Calbuco,Chile-S,Chile,-41.33,-72.61,2003,Stratovolcano,
1894,10,,NO,NO,Ambrym,Vanuatu-SW Pacific,Vanuatu,-16.25,168.12,1334,Pyroclastic shield,2
1895,10,16,NO,NO,Kirishima,Kyushu-Japan,Japan,31.93,130.87,1700,Shield volcano,10
1895,6,17,NO,NO,Karkar,New Guinea-NE of,Papua New Guinea,-4.65,145.96,1839,Stratovolcano,
1895,5,22,NO,NO,Semeru,Java,Indonesia,-8.11,112.92,3676,Stratovolcano,21
1895,,,NO,NO,Dakataua,New Britain-SW Pac,Papua New Guinea,-5.06,150.11,400,Caldera,4
1896,3,15,NO,NO,Kirishima,Kyushu-Japan,Japan,31.93,130.87,1700,Shield volcano,
1897,3,26,YES,NO,Tinakula,Santa Cruz Is-SW Pac,Solomon Is.,-10.38,165.80,851,Stratovolcano,
1897,5,23,NO,NO,Mayon,Luzon-Philippines,Philippines,13.26,123.69,2462,Stratovolcano,1
1899,11,13,NO,NO,Dona Juana,Colombia,Colombia,1.47,-76.92,4150,Stratovolcano,350
1899,,,NO,NO,Manam,New Guinea-NE of,Papua New Guinea,-4.10,145.06,1807,Stratovolcano,55
1900,7,17,NO,NO,Adatara,Honshu-Japan,Japan,37.62,140.28,1718,Stratovolcano,2
1900,1,22,NO,NO,Asama,Honshu-Japan,Japan,36.40,138.53,2560,Complex volcano,25
1900,2,16,NO,NO,Kirishima,Kyushu-Japan,Japan,31.93,130.87,1700,Shield volcano,2
1900,,,NO,NO,Tullu Moje,Africa-NE,Ethiopia,8.16,39.13,2349,Pumice cone,72
1901,8,9,YES,YES,Epi,Vanuatu-SW Pacific,Vanuatu,-16.68,168.37,833,Stratovolcano,
1901,5,22,NO,NO,Kelut,Java,Indonesia,-7.93,112.31,1731,Stratovolcano,
1902,5,8,YES,NO,Pelee,W Indies,Martinique,14.82,-61.17,1397,Stratovolcano,
1902,5,7,YES,NO,Soufriere St. Vincent,W Indies,St. Vincent & the Grenadines,13.33,-61.18,1220,Stratovolcano,1680
1902,8,30,YES,NO,Pelee,W Indies,Martinique,14.82,-61.17,1397,Stratovolcano,28000
1902,5,5,YES,NO,Pelee,W Indies,Martinique,14.82,-61.17,1397,Stratovolcano,125
1902,5,20,YES,NO,Pelee,W Indies,Martinique,14.82,-61.17,1397,Stratovolcano,10000
1902,10,25,NO,NO,Santa Maria,Guatemala,Guatemala,14.76,-91.55,3772,Stratovolcano,23
1902,8,7,NO,NO,Tori-shima,Izu Is-Japan,Japan,30.48,140.32,403,Stratovolcano,
1902,12,,NO,NO,Merapi,Java,Indonesia,-7.54,110.44,2947,Stratovolcano,1500
1903,,,NO,NO,Karthala,Indian O-W,Comoros,-11.75,43.38,2361,Shield volcano,16
1903,8,30,NO,NO,Okataina,New Zealand,New Zealand,-38.12,176.50,1111,Lava dome,4
1904,2,25,NO,NO,Karthala,Indian O-W,Comoros,-11.75,43.38,2361,Shield volcano,17
1905,8,4,YES,NO,Savai'i,Samoa-SW Pacific,Samoa,-13.61,-172.53,1858,Shield volcano,1
1905,3,10,NO,NO,Vesuvius,Italy,Italy,40.82,14.43,1281,Complex volcano,1
1906,4,4,YES,NO,Vesuvius,Italy,Italy,40.82,14.43,1281,Complex volcano,
1907,7,,YES,NO,Unnamed,Tonga-SW Pacific,Tonga,-21.38,-175.65,-500,Submarine volcano,
1907,10,6,YES,NO,Savai'i,Samoa-SW Pacific,Samoa,-13.61,-172.53,1858,Shield volcano,1
1907,9,28,NO,NO,Lewotobi,Lesser Sunda Is,Indonesia,-8.53,122.78,1703,Stratovolcano,350
1907,8,4,NO,NO,Alayta,Africa-NE,Ethiopia,12.88,40.57,1501,Shield volcano,
1909,4,28,NO,YES,"Cameroon, Mt.",Africa-W,Cameroon,4.20,9.17,4095,Stratovolcano,
1909,9,,NO,NO,Semeru,Java,Indonesia,-8.11,112.92,3676,Stratovolcano,
1910,3,20,NO,NO,Taupo,New Zealand,New Zealand,-38.82,176.00,760,Caldera,221
1910,7,25,NO,NO,Usu,Hokkaido-Japan,Japan,42.53,140.83,731,Stratovolcano,1
1911,1,30,YES,YES,Taal,Luzon-Philippines,Philippines,14.00,120.99,400,Stratovolcano,1
1911,11,3,YES,NO,Piparo,Trinidad,Trinidad ,10.00,-61.00,140,Mud volcano,
1911,5,8,NO,NO,Asama,Honshu-Japan,Japan,36.40,138.53,2560,Complex volcano,1335
1911,8,15,NO,NO,Asama,Honshu-Japan,Japan,36.40,138.53,2560,Complex volcano,1
1911,11,8,NO,NO,Semeru,Java,Indonesia,-8.11,112.92,3676,Stratovolcano,
1912,12,3,NO,NO,Nyamuragira,Africa-C,"Congo, DRC",-1.41,29.20,3058,Shield volcano,
1912,9,6,NO,NO,Novarupta,Alaska Peninsula,United States,58.27,-155.16,841,Caldera,2
1913,3,14,YES,YES,Awu,Sangihe Is-Indonesia,Indonesia,3.67,125.50,1320,Stratovolcano,1
1913,12,6,NO,NO,Ambrym,Vanuatu-SW Pacific,Vanuatu,-16.25,168.12,1334,Pyroclastic shield,20
1913,1,20,NO,NO,Colima,Mexico,Mexico,19.51,-103.62,3850,Stratovolcano,13
1913,5,29,NO,NO,Asama,Honshu-Japan,Japan,36.40,138.53,2560,Complex volcano,138
1913,6,23,NO,NO,Semeru,Java,Indonesia,-8.11,112.92,3676,Stratovolcano,
1914,1,12,YES,YES,Sakura-jima,Kyushu-Japan,Japan,31.58,130.67,1117,Stratovolcano,63
1914,,,NO,NO,Aoba,Vanuatu-SW Pacific,Vanuatu,-15.40,167.83,1496,Shield volcano,21
1914,9,10,NO,NO,White Island,New Zealand,New Zealand,-37.52,177.18,321,Stratovolcano,
1914,1,18,NO,NO,Pago,New Britain-SW Pac,Papua New Guinea,-5.58,150.52,742,Caldera,11
1916,7,3,YES,NO,Stromboli,Italy,Italy,38.79,15.21,926,Stratovolcano,
1916,3,3,NO,NO,Tungurahua,Ecuador,Ecuador,-1.47,-78.44,5023,Stratovolcano,100
1917,6,7,NO,YES,San Salvador,El Salvador,El Salvador,13.74,-89.29,1893,Stratovolcano,
1917,4,1,NO,NO,Okataina,New Zealand,New Zealand,-38.12,176.50,1111,Lava dome,
1917,1,1,NO,NO,"Lengai, Ol Doinyo",Africa-E,Tanzania,-2.75,35.90,2890,Stratovolcano,2
1917,4,,NO,NO,Calbuco,Chile-S,Chile,-41.33,-72.61,2003,Stratovolcano,
1918,7,18,YES,NO,Banua Wuhu,Sangihe Is-Indonesia,Indonesia,3.14,125.49,-5,Submarine volcano,325
1918,10,12,NO,NO,Katla,Iceland-S,Iceland,63.63,-19.05,1512,Subglacial volcano,
1919,5,22,YES,NO,Stromboli,Italy,Italy,38.79,15.21,926,Stratovolcano,
1919,4,3,YES,NO,Banua Wuhu,Sangihe Is-Indonesia,Indonesia,3.14,125.49,-5,Submarine volcano,4
1919,9,29,YES,NO,Mauna Loa,Hawaiian Is,United States,19.48,-155.61,4170,Shield volcano,2
1919,5,19,NO,NO,Kelut,Java,Indonesia,-7.93,112.31,1731,Stratovolcano,
1919,7,6,NO,NO,Nasu,Honshu-Japan,Japan,37.12,139.97,1917,Stratovolcano,
1919,2,19,NO,NO,Popocatepetl,Mexico,Mexico,19.02,-98.62,5426,Stratovolcano,5110
1920,7,25,NO,NO,Merapi,Java,Indonesia,-7.54,110.44,2947,Stratovolcano,
1920,10,29,NO,NO,Izalco,El Salvador,El Salvador,13.81,-89.63,1950,Stratovolcano,33
1921,11,26,NO,NO,Nasu,Honshu-Japan,Japan,37.12,139.97,1917,Stratovolcano,
1923,6,,NO,NO,Tangkubanparahu,Java,Indonesia,-6.77,107.60,2084,Stratovolcano,1
1923,3,11,NO,NO,Papandayan,Java,Indonesia,-7.32,107.73,2665,Stratovolcano,1
1923,7,1,NO,NO,Kirishima,Kyushu-Japan,Japan,31.93,130.87,1700,Shield volcano,3
1924,5,10,NO,NO,Kilauea,Hawaiian Is,United States,19.43,-155.29,1222,Shield volcano,1
1926,5,24,NO,NO,Tokachi,Hokkaido-Japan,Japan,43.42,142.68,2077,Stratovolcano,1
1927,8,7,YES,NO,Paluweh,Lesser Sunda Is,Indonesia,-8.32,121.71,875,Stratovolcano,
1927,9,5,NO,NO,Esjufjoll,Iceland-SE,Iceland,64.27,-16.65,1760,Stratovolcano,144
1928,8,4,YES,NO,Paluweh,Lesser Sunda Is,Indonesia,-8.32,121.71,875,Stratovolcano,1
1928,3,28,YES,NO,Krakatau,Indonesia,Indonesia,-6.10,105.42,813,Caldera,226
1928,1,23,NO,NO,Santorini,Greece,Greece,36.40,25.40,329,Shield volcano,48
1928,5,13,NO,NO,Dieng Volc Complex,Java,Indonesia,-7.20,109.92,2565,Complex volcano,
1928,11,2,NO,NO,Etna,Italy,Italy,37.73,15.00,3350,Stratovolcano,
1928,1,,NO,NO,Mayon,Luzon-Philippines,Philippines,13.26,123.69,2462,Stratovolcano,40
1929,11,2,NO,NO,Santa Maria,Guatemala,Guatemala,14.76,-91.55,3772,Stratovolcano,5
1929,6,17,NO,NO,Komaga-take,Hokkaido-Japan,Japan,42.07,140.68,1140,Stratovolcano,
1929,8,2,NO,NO,Etna,Italy,Italy,37.73,15.00,3350,Stratovolcano,2
1929,1,6,NO,NO,Calbuco,Chile-S,Chile,-41.33,-72.61,2003,Stratovolcano,2
1930,9,11,YES,NO,Stromboli,Italy,Italy,38.79,15.21,926,Stratovolcano,6
1930,3,17,YES,NO,Krakatau,Indonesia,Indonesia,-6.10,105.42,813,Caldera,6
1930,12,18,NO,NO,Merapi,Java,Indonesia,-7.54,110.44,2947,Stratovolcano,200
1930,8,20,NO,NO,Asama,Honshu-Japan,Japan,36.40,138.53,2560,Complex volcano,
1931,8,20,NO,NO,Asama,Honshu-Japan,Japan,36.40,138.53,2560,Complex volcano,1369
1932,10,1,NO,NO,Kusatsu-Shirane,Honshu-Japan,Japan,36.62,138.55,2176,Stratovolcano,3
1932,1,21,NO,NO,Fuego,Guatemala,Guatemala,14.47,-90.88,3763,Stratovolcano,
1932,2,,NO,NO,Merapi,Java,Indonesia,-7.54,110.44,2947,Stratovolcano,
1933,1,8,YES,YES,Kharimkotan,Kuril Is,Russia,49.12,154.51,1145,Stratovolcano,1
1933,12,25,YES,NO,Bulusan,Luzon-Philippines,Philippines,12.77,124.05,1565,Stratovolcano,8
1933,12,24,NO,NO,Kuchinoerabu-jima,Ryukyu Is,Japan,30.43,130.22,649,Stratovolcano,2
1933,5,10,NO,NO,Hakone,Honshu-Japan,Japan,35.22,139.02,1438,Complex volcano,2
1934,,,NO,NO,Hood,US-Oregon,United States,45.37,-121.69,3426,Stratovolcano,9
1936,2,,NO,NO,Asama,Honshu-Japan,Japan,36.40,138.53,2560,Complex volcano,1
1937,5,29,YES,YES,Rabaul,New Britain-SW Pac,Papua New Guinea,-4.27,152.20,688,Pyroclastic shield,2
1937,2,9,NO,NO,Llaima,Chile-C,Chile,-38.69,-71.73,3125,Stratovolcano,3
1938,1,28,YES,NO,Nyamuragira,Africa-C,"Congo, DRC",-1.41,29.20,3058,Shield volcano,
1938,5,9,NO,NO,Bandai,Honshu-Japan,Japan,37.60,140.08,1819,Stratovolcano,507
1938,6,5,NO,NO,Mayon,Luzon-Philippines,Philippines,13.26,123.69,2462,Stratovolcano,2
1938,7,16,NO,NO,Asama,Honshu-Japan,Japan,36.40,138.53,2560,Complex volcano,
1939,7,24,YES,NO,Kick-'em-Jenny,W Indies,Netherlands,12.30,-61.63,-177,Submarine volcano,2
1939,10,13,NO,NO,Dieng Volc Complex,Java,Indonesia,-7.20,109.92,2565,Complex volcano,
1939,8,17,NO,NO,Tori-shima,Izu Is-Japan,Japan,30.48,140.32,403,Stratovolcano,
1940,7,12,NO,NO,Miyake-jima,Izu Is-Japan,Japan,34.08,139.53,815,Stratovolcano,10
1940,6,20,NO,NO,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,2.78,125.48,1784,Stratovolcano,1
1940,7,24,NO,NO,"Lengai, Ol Doinyo",Africa-E,Tanzania,-2.75,35.90,2890,Stratovolcano,11
1941,7,13,NO,NO,Asama,Honshu-Japan,Japan,36.40,138.53,2560,Complex volcano,
1941,9,21,NO,NO,Semeru,Java,Indonesia,-8.11,112.92,3676,Stratovolcano,1
1943,2,20,NO,NO,Michoacan-Guanajuato,Mexico,Mexico,19.48,-102.25,3860,Cinder cone,
1943,4,13,NO,NO,"Azul, Cerro",Galapagos,Ecuador,-0.90,-91.42,1690,Shield volcano,103
1944,8,20,YES,NO,Stromboli,Italy,Italy,38.79,15.21,926,Stratovolcano,1
1944,12,4,NO,NO,Dieng Volc Complex,Java,Indonesia,-7.20,109.92,2565,Complex volcano,1
1944,3,27,NO,NO,Vesuvius,Italy,Italy,40.82,14.43,1281,Complex volcano,27
1944,6,10,NO,NO,Cleveland,Aleutian Is,United States,52.82,-169.95,1730,Stratovolcano,1
1944,6,23,NO,NO,Usu,Hokkaido-Japan,Japan,42.53,140.83,731,Stratovolcano,1
1944,8,26,NO,NO,Usu,Hokkaido-Japan,Japan,42.53,140.83,731,Stratovolcano,
1946,11,13,YES,NO,Sarychev Peak,Kuril Is,Russia,48.09,153.20,1496,Stratovolcano,
1946,2,,NO,NO,Semeru,Java,Indonesia,-8.11,112.92,3676,Stratovolcano,117
1946,1,,NO,NO,Sakura-jima,Kyushu-Japan,Japan,31.58,130.67,1117,Stratovolcano,1
1946,10,29,NO,NO,Semeru,Java,Indonesia,-8.11,112.92,3676,Stratovolcano,6
1947,9,16,NO,NO,Akagi,Honshu-Japan,Japan,36.53,139.18,1828,Stratovolcano,
1947,7,6,NO,NO,Asama,Honshu-Japan,Japan,36.40,138.53,2560,Complex volcano,
1947,11,2,NO,NO,Hekla,Iceland-S,Iceland,63.98,-19.70,1491,Stratovolcano,11
1947,1,7,NO,NO,Mayon,Luzon-Philippines,Philippines,13.26,123.69,2462,Stratovolcano,699
1948,4,7,NO,NO,Iliwerung,Lesser Sunda Is,Indonesia,-8.54,123.59,1018,Complex volcano,1
1949,1,1,NO,NO,Villarrica,Chile-C,Chile,-39.42,-71.93,2847,Stratovolcano,
1949,5,26,NO,NO,Purace,Colombia,Colombia,2.32,-76.40,4650,Stratovolcano,54
1949,6,,NO,NO,Camiguin,Mindanao-Philippines,Philippines,9.20,124.67,1332,Stratovolcano,17
1950,9,15,NO,NO,Camiguin,Mindanao-Philippines,Philippines,9.20,124.67,1332,Stratovolcano,2
1950,8,28,NO,NO,Semeru,Java,Indonesia,-8.11,112.92,3676,Stratovolcano,6
1950,9,23,NO,NO,Asama,Honshu-Japan,Japan,36.40,138.53,2560,Complex volcano,68
1951,8,3,YES,YES,Cosiguina,Nicaragua,Nicaragua,12.98,-87.57,872,Stratovolcano,2
1951,,,YES,NO,Kavachi,Solomon Is-SW Pacifi,Solomon Is.,-9.02,157.95,-20,Submarine volcano,500
1951,1,21,NO,NO,Lamington,New Guinea,Papua New Guinea,-8.95,148.15,1680,Stratovolcano,1
1951,12,4,NO,NO,Camiguin,Mindanao-Philippines,Philippines,9.20,124.67,1332,Stratovolcano,2942
1951,8,31,NO,NO,Kelut,Java,Indonesia,-7.93,112.31,1731,Stratovolcano,
1951,11,5,NO,NO,Hakone,Honshu-Japan,Japan,35.22,139.02,1438,Complex volcano,7
1952,9,24,YES,NO,Myojun Knoll,Izu Is-Japan,Japan,32.10,139.85,360,Submarine volcano,
1952,9,16,YES,NO,Myojun Knoll,Izu Is-Japan,Japan,32.10,139.85,360,Submarine volcano,
1952,9,23,YES,NO,Myojun Knoll,Izu Is-Japan,Japan,32.10,139.85,360,Submarine volcano,31
1952,9,26,YES,NO,Myojun Knoll,Izu Is-Japan,Japan,32.10,139.85,360,Submarine volcano,
1952,,,NO,NO,Ambalatungan Group,Luzon-Philippines,Philippines,17.32,121.10,2329,Compound volcano,1
1952,3,27,NO,NO,Hakone,Honshu-Japan,Japan,35.22,139.02,1438,Complex volcano,
1953,3,11,YES,NO,Myojun Knoll,Izu Is-Japan,Japan,32.10,139.85,360,Submarine volcano,5
1953,3,25,YES,NO,Myojun Knoll,Izu Is-Japan,Japan,32.10,139.85,360,Submarine volcano,10
1953,6,27,YES,NO,St. Andrew Strait,Admiralty Is-SW Paci,Papua New Guinea,-2.38,147.35,270,Complex volcano,1
1953,12,24,NO,NO,Ruapehu,New Zealand,New Zealand,-39.28,175.57,2797,Stratovolcano,12
1953,3,23,NO,NO,Merapi,Java,Indonesia,-7.54,110.44,2947,Stratovolcano,
1953,7,26,NO,NO,Hakone,Honshu-Japan,Japan,35.22,139.02,1438,Complex volcano,64
1953,4,27,NO,NO,Aso,Kyushu-Japan,Japan,32.88,131.10,1592,Caldera,
1953,6,,NO,NO,Sirung,Lesser Sunda Is,Indonesia,-8.51,124.15,862,Complex volcano,6
1953,10,5,NO,NO,Oshima,Izu Is-Japan,Japan,34.73,139.38,758,Stratovolcano,
1954,2,,YES,NO,Stromboli,Italy,Italy,38.79,15.21,926,Stratovolcano,1
1954,,,NO,NO,Camiguin,Mindanao-Philippines,Philippines,9.20,124.67,1332,Stratovolcano,151
1954,7,21,NO,NO,Tate-yama,Honshu-Japan,Japan,36.57,137.60,2621,Stratovolcano,
1954,8,3,NO,NO,Bam,New Guinea-NE of,Papua New Guinea,-3.60,144.85,685,Stratovolcano,25
1955,7,26,NO,NO,Carran-Los Venados,Chile-C,Chile,-40.35,-72.07,1114,Pyroclastic cone,2
1955,10,13,NO,NO,Sakura-jima,Kyushu-Japan,Japan,31.58,130.67,1117,Stratovolcano,2
1956,3,30,YES,NO,Bezymianny,Kamchatka,Russia,55.98,160.59,2882,Stratovolcano,
1957,3,11,NO,YES,Vsevidof,Aleutian Is,United States,53.13,-168.68,2149,Stratovolcano,1
1957,7,,NO,NO,Unzen,Kyushu-Japan,Japan,32.75,130.30,1500,Complex volcano,
1957,10,,NO,NO,Aso,Kyushu-Japan,Japan,32.88,131.10,1592,Caldera,
1957,8,,NO,NO,Oshima,Izu Is-Japan,Japan,34.73,139.38,758,Stratovolcano,13
1958,10,7,YES,NO,Kuwae,Vanuatu-SW Pacific,Vanuatu,-16.83,168.54,-2,Caldera,2
1958,7,21,NO,NO,Daisetsu,Hokkaido-Japan,Japan,43.68,142.88,2290,Stratovolcano,12
1958,7,12,NO,NO,Mahawu,Sulawesi-Indonesia,Indonesia,1.36,124.86,1324,Stratovolcano,1
1960,5,25,YES,YES,Puyehue,Chile-C,Chile,-40.59,-72.12,2236,Stratovolcano,
1961,5,8,NO,NO,Merapi,Java,Indonesia,-7.54,110.44,2947,Stratovolcano,
1961,6,18,NO,NO,Daisetsu,Hokkaido-Japan,Japan,43.68,142.88,2290,Stratovolcano,
1961,4,23,NO,NO,Tate-yama,Honshu-Japan,Japan,36.57,137.60,2621,Stratovolcano,1
1961,8,18,NO,NO,Asama,Honshu-Japan,Japan,36.40,138.53,2560,Complex volcano,6
