Year,Month,Day,TSU,EQ,Name,Location,Country,Lat,Lon,Elevation,Type,Deaths
1302,,,NO,NO,Ischia,Italy,Italy,40.73,13.90,789,Complex volcano,600
1311,1,18,NO,NO,Katla,Iceland-S,Iceland,63.63,-19.05,1512,Subglacial volcano,
1311,,,NO,NO,Kelut,Java,Indonesia,-7.93,112.31,1731,Stratovolcano,
1329,6,28,YES,NO,Etna,Italy,Italy,37.73,15.00,3350,Stratovolcano,
1329,7,,NO,NO,Etna,Italy,Italy,37.73,15.00,3350,Stratovolcano,
1331,12,,NO,NO,Aso,Kyushu-Japan,Japan,32.88,131.10,1592,Caldera,
1334,,,NO,NO,Kelut,Java,Indonesia,-7.93,112.31,1731,Stratovolcano,
1341,5,19,NO,NO,Hekla,Iceland-S,Iceland,63.98,-19.70,1491,Stratovolcano,
1357,,,NO,NO,Katla,Iceland-S,Iceland,63.63,-19.05,1512,Subglacial volcano,
1362,6,5,NO,NO,Oraefajokull,Iceland-SE,Iceland,64.00,-16.65,2119,Stratovolcano,
1375,,,NO,NO,"Chichon, El",Mexico,Mexico,17.36,-93.23,1150,Tuff cone,220
1376,,,NO,NO,Kelut,Java,Indonesia,-7.93,112.31,1731,Stratovolcano,
1385,,,NO,NO,Kelut,Java,Indonesia,-7.93,112.31,1731,Stratovolcano,
1389,12,1,NO,NO,Hekla,Iceland-S,Iceland,63.98,-19.70,1491,Stratovolcano,
1410,3,5,NO,NO,Nasu,Honshu-Japan,Japan,37.12,139.97,1917,Stratovolcano,
1430,,,NO,NO,Kuwae,Vanuatu-SW Pacific,Vanuatu,-16.83,168.54,-2,Caldera,180
1471,11,3,NO,NO,Sakura-jima,Kyushu-Japan,Japan,31.58,130.67,1117,Stratovolcano,
1477,2,,NO,NO,Bardarbunga,Iceland-NE,Iceland,64.63,-17.53,2000,Stratovolcano,
1485,1,,NO,NO,Aso,Kyushu-Japan,Japan,32.88,131.10,1592,Caldera,
1500,,,NO,NO,Katla,Iceland-S,Iceland,63.63,-19.05,1512,Subglacial volcano,1
1510,7,25,NO,NO,Hekla,Iceland-S,Iceland,63.98,-19.70,1491,Stratovolcano,
1510,10,15,NO,NO,Hekla,Iceland-S,Iceland,63.98,-19.70,1491,Stratovolcano,1
